cameras number, updateSteinerGrid, shrinkManifold, shrinkSingle, shrinkSeveral, Add new vertices, Move vertices, Move Cameras, rayUntracing, rayTracing, rayRetracing, growManifold, growManifoldSev, growManifold, Save manifold, Overall

4, 0.003356, 0.00263, 0.001698, 1.4e-05, 0.013294, 0, 0, 0, 0.231828, 0, 0.033052, 0.103843, 0.001831, 0.395033, 
8, 0.000236, 0.171863, 0.066507, 0.036702, 0.180592, 0, 0, 0, 0.41358, 0.339453, 0.07091, 0.255121, 0.004085, 1.44946, 
12, 0.001567, 0.36306, 0.137242, 0.106897, 0.219123, 0, 0, 0, 0.311094, 0.548011, 0.112157, 0.364691, 0.00688, 1.94602, 
16, 0.000236, 0.420696, 0.187483, 0.094239, 0.097931, 0, 0, 0, 0.328872, 0.401434, 0.160468, 0.480721, 0.00839, 1.94129, 
20, 0.000242, 0.664294, 0.242859, 0.209918, 0.080326, 0, 0, 0, 0.469259, 0.362646, 0.19017, 0.568022, 0.009589, 2.37833, 
24, 0.000215, 0.771225, 0.291585, 0.243146, 0.167489, 0, 0, 0, 0.40008, 0.541908, 0.247661, 0.713758, 0.012587, 2.89902, 
28, 0.000226, 1.22824, 0.388245, 0.526595, 0.220546, 0, 0, 0, 0.465655, 0.693047, 0.335841, 0.826028, 0.014626, 3.83978, 
32, 0.001739, 1.36533, 0.442557, 0.559337, 0.258471, 0, 0, 0, 0.720855, 0.776958, 0.379386, 0.902629, 0.015114, 0.361042, 4.85811, 
36, 0.000241, 1.84817, 0.62578, 0.797613, 0.315498, 0, 0, 0, 1.01034, 1.12821, 0.456014, 1.02478, 0.017957, 5.90189, 
40, 0.000212, 2.28501, 0.717619, 1.04689, 0.385059, 0, 0, 0, 0.867277, 1.52802, 0.565182, 1.14383, 0.020128, 6.91932, 
44, 0.000218, 2.20219, 0.79632, 0.884883, 0.294159, 0, 0, 0, 0.504624, 1.35079, 0.638216, 1.40006, 0.025423, 6.55465, 
48, 0.000219, 3.24807, 1.05647, 1.47168, 0.11161, 0, 0, 0, 0.250861, 0.504782, 0.717226, 1.6145, 0.030106, 6.62535, 
52, 0.000225, 3.52904, 1.10068, 1.59806, 0.078847, 0, 0, 0, 0.26602, 0.356945, 0.770731, 1.79723, 0.032285, 6.99054, 
56, 0.001411, 3.74375, 1.20066, 1.66726, 0.108092, 0, 0, 0, 0.350347, 0.304825, 0.818663, 2.04668, 0.03538, 7.5881, 
60, 0.000226, 3.89173, 1.35456, 1.66455, 0.188658, 0, 0, 0, 0.329222, 0.472915, 0.910405, 2.1825, 0.039805, 8.19877, 
64, 0.000246, 3.85914, 1.45059, 1.53036, 0.171073, 0, 0, 0, 0.398103, 0.599548, 1.00538, 2.26905, 0.047906, 0.765904, 9.31427, 
68, 0.000226, 3.96654, 1.42433, 1.62957, 0.215646, 0, 0, 0, 0.401518, 0.558656, 1.0229, 2.26402, 0.041856, 8.68739, 
72, 0.00022, 4.92368, 1.88725, 1.93708, 0.316965, 0, 0, 0, 0.468501, 0.838983, 1.12391, 2.34535, 0.051352, 10.3063, 
76, 0.00024, 4.31035, 1.66678, 1.6813, 0.237048, 0, 0, 0, 0.342107, 0.948671, 1.21187, 2.45171, 0.048086, 9.80464, 
80, 0.000242, 4.70065, 1.89047, 1.78961, 0.084297, 0, 0, 0, 0.255239, 0.535003, 1.30722, 2.70781, 0.051801, 9.90711, 
84, 0.000247, 4.53528, 1.91852, 1.58224, 0.077486, 0, 0, 0, 0.33102, 0.176907, 1.41048, 2.79442, 0.052957, 9.66306, 
88, 0.001646, 4.84827, 2.05862, 1.68297, 0.110693, 0, 0, 0, 0.39752, 0.30566, 1.45079, 2.95762, 0.056254, 10.4254, 
92, 0.000244, 5.33508, 2.24052, 1.80461, 0.185379, 0, 0, 0, 0.6308, 0.507346, 1.41755, 3.18893, 0.062459, 11.6566, 
96, 0.000243, 6.90638, 2.39121, 1.90213, 0.269786, 0, 0, 0, 0.814234, 0.869478, 1.43016, 3.15398, 0.059885, 1.16293, 15.0381, 
100, 0.000218, 7.96567, 2.45784, 1.71905, 0.328799, 0, 0, 0, 0.484332, 1.08582, 1.42394, 3.25012, 0.063162, 14.9915, 
104, 0.000228, 9.58873, 2.37454, 2.35296, 0.23548, 0, 0, 0, 0.513307, 0.947688, 1.41953, 3.29261, 0.086995, 16.5039, 
108, 0.0019, 10.0448, 2.46818, 1.87575, 0.169087, 0, 0, 0, 0.531503, 0.716218, 1.37526, 3.40236, 0.067812, 16.7387, 
112, 0.000251, 10.966, 2.41215, 1.64767, 0.183905, 0, 0, 0, 0.591206, 0.794164, 1.39591, 3.56913, 0.071088, 18.0298, 
116, 0.000239, 11.791, 2.31656, 1.38122, 0.142801, 0, 0, 0, 0.313013, 0.72999, 1.37432, 4.25498, 0.091343, 19.1705, 
120, 0.000221, 13.0474, 2.34048, 1.48649, 0.079987, 0, 0, 0, 0.391064, 0.547092, 1.31542, 3.75899, 0.077773, 19.7174, 
124, 0.000229, 14.4461, 2.20779, 1.26252, 0.226695, 0, 0, 0, 1.05965, 0.623878, 1.31486, 4.03389, 0.078423, 22.36, 
128, 0.001946, 18.3606, 2.92903, 1.67986, 0.304156, 0, 0, 0, 0.519845, 0.958761, 1.18631, 3.89319, 0.089599, 1.60139, 27.4787, 
132, 0.000225, 18.268, 1.35783, 0.880797, 0.195926, 0, 0, 0, 0.432437, 0.820025, 0.902849, 3.87247, 0.082146, 25.154, 
136, 0.000241, 18.9934, 1.29649, 0.901195, 0.194763, 0, 0, 0, 0.884192, 0.712973, 0.954112, 4.05066, 0.087947, 26.5052, 
140, 0.000218, 20.0586, 1.39658, 1.042, 0.346851, 0, 0, 0, 0.541588, 1.37699, 0.975521, 4.45008, 0.093267, 28.499, 
144, 0.000231, 21.7199, 1.58081, 1.57124, 0.19252, 0, 0, 0, 0.301727, 1.0907, 1.06888, 4.55543, 0.098632, 29.7091, 
148, 0.000238, 22.5986, 1.85629, 1.513, 0.136128, 0, 0, 0, 0.486928, 0.404277, 1.6913, 5.1399, 0.101704, 31.6221, 
152, 0.000242, 22.1905, 1.75877, 1.69176, 0.257929, 0, 0, 0, 0.315589, 0.440417, 1.24596, 4.73892, 0.10385, 30.0153, 
156, 0.000223, 22.9617, 2.1162, 1.85509, 0.244474, 0, 0, 0, 0.252818, 0.632089, 1.26454, 4.89316, 0.112963, 31.1039, 
160, 0.000209, 27.0246, 2.10133, 2.41895, 0.200017, 0, 0, 0, 0.285271, 0.579445, 1.34558, 5.08394, 0.116141, 2.7801, 38.196, 
164, 0.001129, 28.6749, 1.97631, 1.89922, 0.27172, 0, 0, 0, 0.531934, 0.631783, 1.54369, 5.54768, 0.111837, 38.1142, 
168, 0.000248, 26.9488, 2.21951, 2.02707, 0.212402, 0, 0, 0, 0.402506, 0.666337, 1.40539, 5.19146, 0.117683, 35.7707, 
172, 0.000222, 30.4758, 2.18773, 2.25856, 0.465082, 0, 0, 0, 0.657804, 1.3591, 1.54873, 6.01532, 0.129007, 41.5385, 
176, 0.003399, 28.4074, 2.38706, 2.27163, 0.609883, 0, 0, 0, 1.00695, 1.59173, 1.58722, 5.8553, 0.147268, 40.2046, 
180, 0.00022, 29.5883, 2.71166, 2.09382, 0.483622, 0, 0, 0, 0.706926, 1.63159, 1.80745, 5.74965, 0.131693, 41.1718, 
