cameras number, shrinkManifold, Add new vertices, Move vertices, Move Cameras, rayTracing, rayRetracing, growManifold, growManifoldSev, growManifold, Save manifold
5, 2.4e-05, 0.009594, 4e-06, 0, 0.117712, 0, 0.020481, 0.101112, 0.001905, 0.152135
10, 0.052216, 0.060748, 0.070947, 0, 0.354792, 0.157897, 0.100809, 0.168857, 0.004397, 0.269754
15, 0.120889, 0.017025, 0.030045, 0, 0.188634, 0.115465, 0.092562, 0.216414, 0.004858, 0.185817
20, 0.161923, 0.046941, 0.084736, 0, 0.258229, 0.085949, 0.099687, 0.316207, 0.007386, 0.200554
25, 0.199304, 0.058737, 0.101293, 0, 0.34478, 0.178081, 0.207214, 0.403829, 0.00747, 0.164646
30, 0.457476, 0.171232, 0.232965, 0, 0.626586, 0.479634, 0.215777, 0.896417, 0.015252, 0.204762
35, 0.881327, 0.208678, 0.121778, 0, 0.257122, 0.492952, 0.21381, 0.697601, 0.013402, 0.178148
40, 0.918496, 0.036187, 0.0184, 0, 0.095895, 0.548732, 0.242023, 0.76679, 0.01787, 0.180869
45, 1.32758, 0.045961, 0.067192, 0, 0.280756, 0.136903, 0.315818, 0.989597, 0.024151, 0.209038
50, 1.09601, 0.053568, 0.075245, 0, 0.233154, 0.149652, 0.339087, 1.10098, 0.029496, 0.201533
50, 0, 0, 0, 0, 0, 0, 0.027996, 1.04504, 0.025746, 0.191812
50, 1.02143, 0.000495, 0.000428, 0.125896, 0.190186, 0, 0.293688, 1.01334, 0.020949, 0.177238
50, 1.16404, 0.000338, 0.000266, 0.108141, 0.189129, 0, 0.298229, 1.03449, 0.021406, 0.177307
50, 1.00001, 0.000343, 0.000267, 0.135824, 0.210201, 0, 0.302927, 1.04055, 0.02153, 0.17803
50, 1.24988, 0.000334, 0.000246, 0.165562, 0.241999, 0, 0.298947, 1.03223, 0.026209, 0.180473
50, 1.10196, 0.000643, 0.000426, 0.252633, 0.324404, 0, 0.323079, 1.0199, 0.021458, 0.179211
50, 1.02661, 0.000788, 0.000639, 0.29114, 0.29584, 0, 0.298168, 1.02575, 0.021604, 0.181411
50, 1.13073, 0.00036, 0.000278, 0.069127, 0.106296, 0, 0.328894, 1.03909, 0.021472, 0.175022
50, 1.11644, 0.000327, 0.000214, 0.100533, 0.183239, 0, 0.325576, 1.02957, 0.024875, 0.177922
50, 1.19319, 0.000398, 0.000322, 0.173096, 0.249984, 0, 0.304773, 1.0651, 0.021226, 0.186153
50, 1.2416, 0.000298, 0.000223, 0.018514, 0.137852, 0, 0.372381, 1.10805, 0.028379, 0.255188
50, 0, 0, 0, 0, 0, 0, 0.028236, 1.09981, 0.02564, 0.20557
