cameras number, shrinkManifold, Add new vertices, Move vertices, Move Cameras, rayTracing, rayRetracing, growManifold, growManifoldSev, growManifold, Save manifold
5, 4e-05, 0.009291, 4e-06, 0, 0.094004, 0, 0.019464, 0.046947, 0.001108, 0.162143
10, 0.049789, 0.040178, 0.122025, 0, 0.116304, 0.100746, 0.036078, 0.102893, 0.002398, 0.177222
15, 0.080293, 0.01384, 0.019062, 0, 0.173593, 0.025981, 0.058999, 0.19189, 0.004064, 0.158936
20, 0.147335, 0.066455, 0.109175, 0, 0.335477, 0.153974, 0.095865, 0.378543, 0.007225, 0.16246
25, 0.374927, 0.089187, 0.126793, 0, 0.350901, 0.218918, 0.126622, 0.413077, 0.008148, 0.164774
30, 0.33827, 0.14478, 0.124814, 0, 0.289721, 0.480924, 0.171461, 0.565542, 0.011245, 0.176998
35, 0.743771, 0.023192, 0.0007, 0, 0.035589, 0.154641, 0.176839, 0.705324, 0.014584, 0.175975
40, 0.728795, 0.018228, 0.019346, 0, 0.106799, 0.06816, 0.22737, 0.803277, 0.016487, 0.1811
45, 0.779035, 0.054134, 0.049409, 0, 0.192742, 0.093468, 0.244775, 0.86476, 0.018304, 0.189426
50, 0.871917, 0.091541, 0.091781, 0, 0.273793, 0.244655, 0.265021, 0.974467, 0.019975, 0.187275
55, 0.96355, 0.132023, 0.111728, 0, 0.35378, 0.300739, 0.301232, 1.02466, 0.022252, 0.198274
60, 1.27408, 0.032161, 0.052113, 0, 0.079973, 0.203581, 0.335181, 1.10552, 0.023529, 0.194048
65, 0.966889, 0.017252, 0.010205, 0, 0.14631, 0.108946, 0.374505, 1.20667, 0.026585, 0.200616
70, 1.11395, 0.05601, 0.102361, 0, 0.381979, 0.148294, 0.436373, 1.3437, 0.029877, 0.208459
75, 1.25533, 0.060975, 0.12161, 0, 0.275418, 0.260004, 0.475945, 1.40334, 0.031479, 0.213748
80, 1.42905, 0.045483, 0.038234, 0, 0.107152, 0.181317, 0.463672, 1.36381, 0.032765, 0.217805
85, 1.5372, 0.029484, 0.020021, 0, 0.04226, 0.127328, 0.505021, 1.45163, 0.033417, 0.219569
90, 3.46431, 0.011613, 0.011161, 0, 0.08259, 0.052121, 0.418993, 1.48327, 0.037461, 0.228069
95, 4.81094, 0.044042, 0.016461, 0, 0.273445, 0.095568, 0.474725, 1.61467, 0.041904, 0.231691
100, 7.18236, 0.119695, 0.126417, 0, 0.310389, 0.205981, 0.49935, 1.76014, 0.047297, 0.249866
105, 7.97795, 0.073491, 3e-06, 0, 0.101476, 0.46027, 0.541968, 1.84234, 0.044816, 0.24025
110, 7.5976, 0.062173, 0.083916, 0, 0.317684, 0.112359, 0.592194, 2.0406, 0.05061, 0.250614
115, 7.04775, 0.073376, 0.053087, 0, 0.213489, 0.29644, 0.61256, 2.04607, 0.053939, 0.268285
120, 7.52948, 0.070949, 0.038067, 0, 0.158486, 0.179362, 0.661291, 2.15474, 0.055193, 0.281614
