Iteration, Updated Cameras, Added Points, Moved Points, Inserted Steiner Points, Tracing Index Cache Hit Ratio, Traced Rays, Retraced Rays, Untraced Rays, Insert In Boundary, Remove From Boundary, Single Cell Test, Is Regular Test, Enclosing Cells, Enclosing Volume Cache Hit, Shrinked Singular, Shrinked Several, Grown Singular, Grown Several
0, 10, 891, 0, 125, 0.854104, 4346, 0, 0, 3191, 2137, 0, 1984, 0, -nan, 0, 0, 3127, 64, 
1, 10, 615, 0, 25, 0.856232, 3263, 2314, 0, 7799, 7100, 7368, 5418, 3192, 0.566775, 3076, 116, 5601, 61, 
2, 10, 681, 0, 25, 0.860875, 3457, 1221, 0, 12308, 11487, 14376, 7852, 5649, 0.607053, 5477, 186, 8318, 82, 
3, 10, 742, 0, 175, 0.866698, 3938, 1707, 0, 17334, 16541, 23831, 11916, 8323, 0.650749, 7906, 495, 11431, 81, 
4, 10, 997, 0, 0, 0.865106, 5601, 2207, 0, 23303, 22147, 31636, 14912, 11418, 0.639082, 10987, 526, 15060, 102, 
5, 10, 791, 0, 50, 0.866382, 4768, 3814, 0, 28831, 27985, 41021, 17875, 15046, 0.633212, 14466, 697, 18075, 121, 
6, 10, 501, 0, 50, 0.876572, 2801, 2482, 0, 32905, 32310, 49227, 21777, 17925, 0.635871, 17005, 1192, 19958, 128, 
7, 10, 812, 0, 50, 0.88435, 4686, 1150, 0, 37309, 36394, 53697, 24817, 19816, 0.630966, 18836, 1251, 23045, 154, 
8, 10, 557, 0, 0, 0.879299, 3015, 2376, 0, 41632, 41022, 60974, 28008, 22913, 0.624217, 21813, 1387, 25162, 167, 
9, 10, 567, 0, 0, 0.864321, 3386, 2557, 0, 45554, 45005, 66690, 30556, 25023, 0.624786, 23836, 1494, 27577, 159, 
10, 10, 672, 0, 0, 0.882936, 3024, 716, 0, 49765, 48936, 75026, 33019, 27374, 0.63514, 26047, 1690, 29937, 159, 
11, 10, 872, 0, 0, 0.84837, 5643, 1799, 0, 54971, 54039, 79798, 35576, 29731, 0.627422, 28371, 1726, 33612, 167, 
12, 10, 966, 0, 200, 0.86435, 5809, 3337, 0, 61742, 60637, 88154, 39199, 33393, 0.621197, 31922, 1858, 37598, 211, 
13, 10, 734, 0, 125, 0.878914, 3718, 3113, 0, 57172, 56382, 89607, 37548, 31370, 0.649982, 29740, 2102, 34307, 125, 
14, 10, 992, 0, 0, 0.884255, 5190, 2738, 0, 44768, 43632, 58184, 26326, 23739, 0.594399, 22368, 1454, 27484, 67, 
15, 10, 707, 0, 0, 0.879782, 3561, 3662, 0, 49883, 49084, 67215, 29084, 27449, 0.593643, 26009, 1526, 30002, 93, 
16, 10, 956, 0, 399, 0.858891, 5077, 1588, 0, 55361, 54302, 73203, 32711, 29984, 0.592265, 28433, 1666, 33746, 77, 
17, 10, 795, 0, 0, 0.861309, 4490, 3069, 0, 35252, 34443, 45446, 19401, 18805, 0.58684, 18116, 769, 21744, 56, 
18, 10, 840, 0, 0, 0.862253, 4605, 2228, 0, 40919, 40024, 53639, 21640, 21682, 0.596141, 20942, 858, 25306, 61, 
19, 10, 738, 0, 0, 0.870975, 4357, 1926, 0, 46372, 45552, 63101, 24953, 25195, 0.601023, 24298, 1059, 28088, 69, 
20, 10, 736, 0, 0, 0.87522, 4132, 2113, 0, 76871, 75964, 105932, 42552, 42724, 0.597752, 40930, 2071, 45957, 108, 
21, 10, 495, 0, 0, 0.886947, 2794, 1780, 0, 55342, 54821, 75933, 29564, 31074, 0.591142, 30059, 1178, 32922, 69, 
22, 10, 857, 0, 306, 0.877621, 4509, 1708, 0, 59606, 58707, 85472, 31725, 32798, 0.61646, 31792, 1170, 35964, 80, 
23, 10, 637, 0, 0, 0.864207, 4672, 4174, 0, 64424, 63698, 92260, 33838, 35882, 0.61125, 34848, 1197, 38605, 85, 
24, 10, 754, 0, 0, 0.86878, 3906, 944, 0, 58866, 57991, 82941, 31568, 32349, 0.61014, 31356, 1213, 35521, 117, 
25, 10, 647, 0, 360, 0.872276, 2941, 1947, 0, 63449, 62692, 91852, 33282, 35409, 0.614646, 34398, 1240, 37883, 147, 
26, 10, 596, 0, 0, 0.8845, 2844, 1322, 0, 54184, 53452, 80102, 30183, 30135, 0.624013, 29186, 1151, 32394, 111, 
27, 10, 584, 0, 105, 0.880316, 2770, 1310, 0, 57881, 57207, 85555, 32687, 32271, 0.623051, 31233, 1253, 34622, 157, 
28, 10, 626, 0, 0, 0.86674, 3180, 1478, 0, 33160, 32504, 44949, 19252, 17833, 0.606336, 16949, 735, 20308, 93, 
29, 10, 867, 0, 315, 0.877097, 4458, 1780, 0, 19978, 18970, 23847, 11415, 9804, 0.589859, 9481, 381, 12976, 27, 
30, 10, 729, 0, 0, 0.866526, 4287, 4207, 0, 24747, 23954, 32709, 16042, 12690, 0.612696, 12076, 784, 15702, 57, 
31, 10, 698, 0, 0, 0.872347, 3471, 1195, 0, 28705, 27886, 41154, 19284, 15307, 0.628651, 14496, 997, 17745, 68, 
32, 10, 505, 0, 0, 0.86536, 2636, 1683, 0, 35410, 34800, 51650, 23827, 19516, 0.623607, 18409, 1301, 21435, 124, 
33, 10, 632, 0, 0, 0.87741, 3244, 1115, 0, 35297, 34573, 51282, 23137, 19397, 0.622046, 18510, 1084, 21601, 94, 
34, 10, 827, 0, 462, 0.885278, 4275, 1998, 0, 35326, 34391, 55116, 26596, 18854, 0.660031, 17349, 1659, 21617, 178, 
35, 10, 827, 0, 0, 0.878351, 4451, 2982, 0, 40326, 39353, 60143, 29174, 21624, 0.642531, 20062, 1738, 24764, 178, 
36, 10, 569, 0, 1078, 0.876107, 2787, 2629, 0, 20523, 19857, 27700, 14163, 11066, 0.600938, 10585, 553, 12997, 48, 
37, 10, 478, 0, 0, 0.883093, 2428, 1742, 0, 17355, 16781, 21538, 10145, 9287, 0.569448, 9039, 262, 11073, 10, 
38, 10, 656, 0, 0, 0.872163, 3359, 1155, 0, 20789, 19988, 26225, 12287, 11067, 0.578496, 10792, 291, 13284, 27, 
39, 10, 653, 0, 0, 0.872085, 3594, 2208, 0, 24598, 23838, 31508, 14933, 13295, 0.578458, 12943, 368, 15589, 111, 
