Iteration, Updated Cameras, Added Points, Moved Points, Inserted Steiner Points, Tracing Index Cache Hit Ratio, Traced Rays, Retraced Rays, Untraced Rays, Insert In Boundary, Remove From Boundary, Single Cell Test, Is Regular Test, Enclosing Cells, Enclosing Volume Cache Hit, Shrinked Singular, Shrinked Several, Grown Singular, Grown Several
0, 10, 777, 0, 180, 0.883788, 2176, 0, 0, 1986, 1083, 0, 1143, 0, -nan, 0, 0, 1981, 4, 
1, 10, 670, 0, 60, 0.891896, 2123, 565, 0, 5262, 4405, 3874, 3769, 1986, 0.487352, 1918, 68, 4165, 13, 
2, 10, 927, 0, 30, 0.882757, 3568, 535, 0, 9812, 8721, 8238, 7328, 4179, 0.492717, 4031, 148, 7374, 18, 
3, 10, 1028, 0, 0, 0.874839, 3581, 2034, 0, 15310, 14124, 15534, 10581, 7149, 0.540139, 6835, 319, 10805, 27, 
4, 10, 1049, 0, 80, 0.8671, 3226, 2273, 0, 18542, 17331, 19396, 11067, 8957, 0.538941, 8695, 345, 12560, 42, 
5, 10, 1037, 0, 35, 0.866129, 3503, 1132, 0, 21218, 19991, 24454, 12095, 10655, 0.564676, 10322, 415, 14088, 24, 
6, 10, 1123, 0, 35, 0.864393, 3725, 1455, 0, 23033, 21763, 27328, 14139, 11580, 0.577341, 11167, 426, 15250, 108, 
7, 10, 1195, 0, 35, 0.865979, 4148, 1817, 0, 21718, 20355, 25508, 15086, 10472, 0.590185, 10015, 459, 14705, 82, 
8, 10, 953, 0, 105, 0.865415, 2714, 1770, 0, 22382, 21302, 31402, 16135, 11650, 0.629406, 11215, 452, 14470, 138, 
9, 10, 851, 0, 40, 0.883241, 2771, 787, 0, 21066, 20096, 30245, 14349, 11180, 0.631035, 10813, 379, 13461, 137, 
10, 10, 886, 0, 165, 0.88327, 3083, 1097, 0, 16124, 15157, 19848, 10626, 8338, 0.580942, 8069, 262, 10740, 26, 
11, 10, 694, 0, 45, 0.877231, 2478, 3710, 0, 19721, 18915, 23598, 11880, 10773, 0.543826, 10560, 201, 12880, 19, 
12, 10, 552, 0, 140, 0.881085, 1701, 976, 0, 12601, 11917, 13940, 7716, 6756, 0.516115, 6636, 107, 8360, 70, 
13, 10, 487, 0, 50, 0.887819, 1559, 934, 0, 11956, 11350, 13680, 7440, 6429, 0.531687, 6212, 190, 8005, 0, 
14, 10, 741, 0, 155, 0.891795, 2180, 576, 0, 10494, 9660, 12945, 6729, 5313, 0.590804, 5148, 199, 7209, 15, 
15, 10, 777, 0, 55, 0.876553, 2721, 620, 0, 10909, 10008, 12117, 6792, 5370, 0.558316, 5228, 148, 7670, 24, 
16, 10, 879, 0, 170, 0.875146, 2611, 1103, 0, 12073, 11088, 12131, 7061, 5956, 0.509714, 5855, 98, 8508, 12, 
17, 10, 970, 0, 180, 0.880589, 2745, 698, 0, 13438, 12355, 13379, 8262, 6620, 0.506081, 6448, 148, 9419, 12, 
18, 10, 1051, 0, 190, 0.880619, 2760, 559, 0, 15680, 14518, 15702, 10018, 7816, 0.503178, 7583, 194, 10801, 48, 
19, 10, 1123, 0, 70, 0.877386, 3315, 575, 0, 17557, 16238, 18635, 10634, 8431, 0.548057, 8195, 205, 12224, 65, 
20, 10, 1120, 0, 205, 0.888271, 3006, 737, 0, 15974, 14689, 17455, 10758, 7772, 0.556114, 7505, 268, 10841, 56, 
21, 10, 1113, 0, 215, 0.891872, 3132, 500, 0, 16564, 15260, 15868, 10234, 7979, 0.498239, 7792, 225, 11450, 27, 
22, 10, 917, 0, 225, 0.888777, 2622, 669, 0, 16090, 15043, 17245, 10428, 8239, 0.523454, 8021, 150, 11016, 12, 
23, 10, 640, 0, 235, 0.899594, 1795, 612, 0, 14074, 13353, 15704, 9317, 7547, 0.520795, 7361, 189, 9298, 47, 
24, 10, 526, 0, 245, 0.897526, 1440, 1001, 0, 16441, 15902, 19417, 10989, 9218, 0.52575, 8989, 244, 10701, 33, 
25, 10, 496, 0, 255, 0.892136, 1337, 362, 0, 10623, 10086, 11681, 7991, 5505, 0.53101, 5258, 279, 7062, 46, 
26, 10, 496, 0, 265, 0.874066, 1370, 328, 0, 8221, 7636, 9215, 5748, 4044, 0.562953, 3877, 190, 5558, 29, 
27, 10, 423, 0, 385, 0.89721, 1140, 380, 0, 7622, 7136, 7534, 5249, 3917, 0.483858, 3751, 150, 5102, 10, 
28, 10, 474, 0, 290, 0.901734, 1252, 179, 0, 6382, 5847, 5788, 4027, 3085, 0.468562, 2996, 137, 4442, 18, 
29, 10, 598, 0, 420, 0.885078, 1527, 246, 0, 5397, 4731, 4460, 4271, 2251, 0.496533, 2110, 149, 4050, 0, 
30, 10, 608, 0, 315, 0.883055, 1494, 306, 0, 6948, 6291, 6653, 4703, 3320, 0.501801, 3220, 109, 4916, 0, 
31, 10, 593, 0, 325, 0.898137, 1615, 360, 0, 7808, 7167, 7856, 4889, 3823, 0.514663, 3695, 112, 5464, 3, 
32, 10, 730, 0, 130, 0.889952, 1947, 391, 0, 7180, 6376, 6147, 4800, 3248, 0.473838, 3128, 111, 5220, 0, 
33, 10, 540, 0, 550, 0.893949, 1340, 169, 0, 7865, 7280, 8370, 4502, 4089, 0.513214, 3997, 83, 5395, 0, 
34, 10, 559, 0, 500, 0.903633, 1449, 90, 0, 7143, 6540, 6556, 4318, 3656, 0.444377, 3595, 52, 5016, 0, 
35, 10, 610, 0, 520, 0.895186, 1521, 422, 0, 7287, 6657, 6719, 5510, 3614, 0.464672, 3472, 150, 5175, 21, 
36, 10, 460, 0, 1842, 0.928396, 1125, 80, 0, 5820, 5313, 5035, 3815, 3003, 0.405229, 2919, 84, 4077, 0, 
37, 10, 508, 0, 960, 0.918085, 1266, 276, 0, 4444, 3905, 3350, 3472, 2081, 0.382309, 1978, 94, 3267, 0, 
38, 10, 398, 0, 498, 0.909359, 1048, 274, 0, 4095, 3622, 3235, 3870, 1945, 0.400247, 1847, 146, 3015, 0, 
39, 10, 552, 0, 720, 0.900096, 1353, 154, 0, 4844, 4198, 3653, 4155, 2158, 0.410705, 2075, 79, 3640, 12, 
40, 10, 766, 0, 744, 0.907515, 1803, 215, 0, 5426, 4626, 4108, 3772, 2285, 0.445523, 2178, 89, 4115, 12, 
41, 10, 437, 0, 546, 0.918786, 1048, 164, 0, 6548, 6077, 6324, 4308, 3475, 0.452152, 3357, 123, 4541, 12, 
42, 10, 538, 0, 786, 0.899138, 1303, 184, 0, 5159, 4562, 4794, 3255, 2472, 0.485536, 2381, 88, 3771, 0, 
43, 10, 501, 0, 576, 0.905519, 1193, 233, 0, 4189, 3630, 3707, 3098, 1877, 0.495566, 1806, 71, 3127, 25, 
44, 10, 428, 0, 828, 0.902786, 1103, 234, 0, 6102, 5589, 6632, 5087, 3149, 0.525967, 3004, 148, 4332, 17, 
45, 10, 470, 0, 606, 0.898928, 1276, 381, 0, 6091, 5536, 6563, 3821, 2969, 0.54899, 2846, 120, 4393, 0, 
46, 10, 520, 0, 246, 0.902519, 1356, 245, 0, 5285, 4682, 5012, 3513, 2402, 0.522655, 2303, 106, 3842, 0, 
47, 10, 533, 0, 1260, 0.90015, 1495, 311, 0, 6058, 5459, 5590, 4226, 2859, 0.491191, 2748, 132, 4358, 10, 
48, 10, 745, 0, 258, 0.892551, 1955, 323, 0, 5719, 4906, 4193, 4753, 2357, 0.440408, 2217, 131, 4370, 4, 
49, 10, 804, 0, 918, 0.892082, 2220, 519, 0, 7153, 6304, 6386, 5401, 3280, 0.487179, 3154, 99, 5221, 4, 
50, 10, 786, 0, 672, 0.895396, 2168, 563, 0, 9499, 8592, 9053, 6635, 4586, 0.495379, 4425, 128, 6800, 0, 
51, 10, 671, 0, 684, 0.903842, 1845, 581, 0, 10098, 9370, 11001, 6539, 5179, 0.530164, 5026, 204, 7009, 5, 
