Iteration, Updated Cameras, Added Points, Moved Points, Inserted Steiner Points, Tracing Index Cache Hit Ratio, Traced Rays, Retraced Rays, Untraced Rays, Insert In Boundary, Remove From Boundary, Single Cell Test, Is Regular Test, Enclosing Cells, Enclosing Volume Cache Hit, Shrinked Singular, Shrinked Several, Grown Singular, Grown Several
0, 10, 1377, 0, 150, 0.866604, 4348, 0, 0, 4338, 2705, 0, 2747, 0, -nan, 0, 0, 4285, 53, 
1, 10, 1184, 62, 25, 0.870518, 4249, 1172, 241, 11000, 9604, 13098, 9408, 4320, 0.670179, 4089, 250, 8156, 140, 
2, 10, 1411, 144, 65, 0.862554, 5676, 976, 686, 17805, 16200, 21496, 15553, 8264, 0.615556, 7839, 458, 12340, 200, 
3, 10, 1349, 123, 30, 0.862921, 5915, 1334, 570, 22543, 20976, 29853, 18591, 11195, 0.62546, 10688, 520, 15159, 277, 
4, 10, 1374, 202, 130, 0.88293, 5086, 1345, 844, 22144, 20648, 29588, 19422, 11483, 0.61227, 10993, 497, 14472, 370, 
5, 10, 1323, 90, 50, 0.891302, 4932, 399, 376, 33990, 32515, 49594, 31310, 18770, 0.621771, 17896, 892, 21915, 455, 
6, 10, 1136, 96, 50, 0.889379, 4400, 1390, 468, 35067, 33804, 50446, 32314, 19596, 0.612291, 18621, 935, 22548, 465, 
7, 10, 1257, 159, 50, 0.88759, 4524, 1676, 646, 23234, 21782, 30597, 20568, 12457, 0.595066, 11801, 660, 15374, 196, 
8, 10, 1281, 93, 50, 0.892498, 4824, 791, 330, 27347, 25872, 36899, 23260, 14774, 0.600692, 14101, 660, 18427, 173, 
9, 10, 1328, 135, 50, 0.887102, 5454, 1337, 615, 26560, 25196, 35245, 20575, 14296, 0.594509, 13836, 491, 17939, 78, 
10, 10, 1545, 78, 50, 0.887606, 5584, 910, 388, 16017, 14320, 15785, 10711, 7180, 0.545742, 6943, 255, 11508, 0, 
11, 10, 1395, 60, 100, 0.878665, 4563, 1504, 276, 19125, 17592, 18383, 11319, 9411, 0.488783, 9246, 158, 13270, 0, 
12, 10, 1416, 109, 50, 0.887459, 5306, 1217, 494, 15949, 14396, 14489, 9986, 7268, 0.499552, 7112, 125, 11462, 20, 
13, 10, 1394, 205, 0, 0.887024, 5815, 1290, 1008, 21724, 20301, 26044, 16382, 11447, 0.56093, 10980, 502, 14528, 38, 
14, 10, 1243, 148, 0, 0.88365, 4991, 918, 666, 26505, 25105, 33731, 19151, 14590, 0.567806, 14244, 322, 17592, 94, 
15, 10, 1117, 66, 0, 0.890973, 4084, 1096, 329, 31435, 30228, 41713, 24468, 17699, 0.57593, 17155, 529, 20821, 75, 
16, 10, 1165, 151, 85, 0.870934, 5818, 1095, 675, 20727, 19518, 28448, 16673, 10824, 0.620184, 10338, 522, 14152, 59, 
17, 10, 1337, 264, 55, 0.86599, 6475, 1842, 1469, 20627, 19050, 24231, 16930, 10746, 0.55703, 10372, 428, 13937, 118, 
18, 10, 1231, 103, 55, 0.889195, 4517, 620, 423, 25701, 24319, 33471, 22165, 13977, 0.582764, 13434, 603, 17286, 179, 
19, 10, 1274, 76, 55, 0.890972, 4375, 1208, 261, 25509, 24079, 37432, 23313, 13619, 0.637078, 12860, 739, 17243, 152, 
20, 10, 1078, 85, 55, 0.88946, 3736, 1379, 320, 16862, 15607, 20611, 13234, 8660, 0.580548, 8376, 244, 11462, 157, 
21, 10, 1128, 118, 110, 0.891442, 4407, 679, 469, 17440, 16171, 21143, 14064, 8852, 0.582197, 8491, 312, 11959, 83, 
22, 10, 1237, 72, 55, 0.875614, 5612, 754, 341, 18263, 16897, 20136, 14191, 8765, 0.565314, 8443, 325, 12832, 84, 
23, 10, 1395, 266, 240, 0.878587, 6078, 1955, 1457, 22845, 21310, 30561, 17751, 12091, 0.604831, 11611, 565, 14923, 170, 
24, 10, 1090, 98, 120, 0.896581, 3668, 396, 364, 27243, 26004, 37715, 22680, 15016, 0.602225, 14421, 672, 17880, 232, 
25, 10, 1200, 44, 120, 0.882167, 4091, 707, 161, 26452, 25159, 45833, 24328, 14549, 0.683146, 13706, 804, 17396, 178, 
26, 10, 1409, 126, 120, 0.882261, 5804, 690, 564, 18562, 17061, 20168, 14985, 9165, 0.546601, 8834, 287, 13057, 132, 
27, 10, 1353, 118, 120, 0.877138, 6103, 1891, 519, 21159, 19704, 24646, 16001, 10413, 0.57772, 9950, 530, 14638, 100, 
28, 10, 1435, 244, 120, 0.873437, 5973, 2202, 1255, 22633, 21018, 27762, 16900, 11614, 0.581975, 11140, 573, 15075, 115, 
29, 10, 1111, 73, 120, 0.88433, 3748, 1319, 285, 23044, 21741, 31272, 18323, 12318, 0.606303, 11784, 602, 15248, 147, 
30, 10, 1320, 81, 120, 0.888934, 4522, 874, 321, 19259, 17784, 24279, 16347, 9737, 0.599284, 9335, 452, 13209, 156, 
31, 10, 1248, 130, 0, 0.880562, 4322, 405, 389, 27110, 25617, 35527, 23369, 14456, 0.593739, 13852, 609, 18161, 272, 
32, 9, 989, 83, 0, 0.880504, 3466, 1498, 281, 32563, 31402, 45784, 28721, 18428, 0.597993, 17632, 801, 21097, 310, 
