Iteration, Updated Cameras, Added Points, Moved Points, Inserted Steiner Points, Tracing Index Cache Hit Ratio, Traced Rays, Retraced Rays, Untraced Rays, Insert In Boundary, Remove From Boundary, Single Cell Test, Is Regular Test, Enclosing Cells, Enclosing Volume Cache Hit, Shrinked Singular, Shrinked Several, Grown Singular, Grown Several
0, 3, 504, 0, 150, 0.844011, 1232, 0, 0, 1335, 747, 0, 1339, 0, -nan, 0, 0, 1287, 47, 
1, 1, 132, 208, 0, 0.853715, 1124, 549, 560, 2126, 2034, 3166, 3507, 1335, 0.578332, 1190, 145, 1324, 54, 
2, 1, 100, 182, 0, 0.856276, 1043, 810, 604, 2248, 2164, 2898, 3755, 1379, 0.524155, 1262, 117, 1536, 13, 
3, 1, 112, 133, 0, 0.867818, 961, 992, 518, 2797, 2625, 3247, 3880, 1550, 0.522636, 1429, 121, 1946, 64, 
4, 1, 111, 110, 0, 0.862177, 847, 1017, 462, 3436, 3307, 5031, 5518, 2011, 0.600278, 1815, 196, 2265, 97, 
5, 1, 146, 91, 0, 0.861951, 845, 1189, 386, 4045, 3924, 5652, 5195, 2363, 0.581918, 2201, 162, 2664, 85, 
6, 1, 136, 95, 0, 0.862111, 786, 1226, 363, 4684, 4499, 6985, 5779, 2750, 0.606299, 2585, 165, 3033, 88, 
7, 1, 136, 74, 0, 0.866614, 673, 1240, 270, 5299, 5113, 8374, 6780, 3121, 0.627299, 2915, 207, 3487, 62, 
8, 1, 129, 12, 0, 0.868575, 452, 1321, 64, 5968, 5811, 9266, 8039, 3550, 0.616879, 3275, 275, 3860, 115, 
9, 1, 110, 87, 0, 0.874693, 689, 851, 329, 6311, 6228, 10586, 9168, 3976, 0.62441, 3625, 351, 3952, 98, 
10, 1, 131, 83, 25, 0.878719, 722, 837, 318, 6718, 6561, 10643, 8916, 4050, 0.619468, 3743, 308, 4357, 107, 
11, 1, 106, 74, 0, 0.876003, 646, 910, 281, 7289, 7193, 12519, 10369, 4465, 0.643342, 4086, 379, 4667, 112, 
12, 1, 113, 12, 0, 0.876822, 406, 949, 55, 8029, 7871, 12513, 9899, 4780, 0.617997, 4454, 326, 5187, 113, 
13, 1, 131, 69, 0, 0.875584, 646, 1250, 261, 8633, 8489, 14141, 10598, 5301, 0.625133, 4966, 335, 5405, 137, 
14, 1, 122, 94, 0, 0.87335, 798, 700, 351, 8983, 8867, 15311, 11687, 5543, 0.637973, 5162, 381, 5663, 131, 
15, 1, 127, 92, 0, 0.873232, 792, 877, 353, 9402, 9265, 15668, 11845, 5795, 0.630138, 5424, 371, 5922, 157, 
16, 1, 119, 104, 0, 0.874599, 948, 743, 462, 9889, 9737, 17010, 13726, 6080, 0.642563, 5606, 474, 6219, 200, 
17, 1, 96, 115, 0, 0.875095, 933, 1019, 550, 10463, 10330, 18031, 14199, 6420, 0.643947, 5913, 507, 6626, 178, 
18, 1, 124, 124, 25, 0.873177, 1049, 1067, 595, 10824, 10717, 19000, 14796, 6805, 0.641842, 6297, 508, 6759, 153, 
19, 1, 156, 121, 0, 0.87074, 1120, 1313, 582, 11334, 11134, 18628, 14923, 6913, 0.628892, 6430, 483, 7275, 146, 
20, 1, 123, 116, 0, 0.865793, 1013, 1267, 552, 11960, 11833, 20156, 15332, 7422, 0.631772, 6907, 515, 7598, 139, 
21, 1, 149, 121, 0, 0.865102, 1106, 1397, 558, 12628, 12426, 20885, 16376, 7738, 0.629495, 7228, 510, 8073, 143, 
22, 1, 145, 127, 0, 0.864454, 1045, 1637, 552, 13367, 13221, 22013, 16146, 8217, 0.626721, 7714, 503, 8524, 155, 
23, 1, 138, 118, 0, 0.865473, 910, 1620, 453, 14096, 13953, 22797, 16883, 8680, 0.619248, 8152, 528, 8971, 119, 
24, 1, 96, 8, 0, 0.868146, 379, 1704, 40, 14889, 14772, 23787, 16211, 9091, 0.617816, 8629, 462, 9492, 123, 
25, 1, 161, 85, 0, 0.864125, 917, 1493, 377, 15536, 15355, 25233, 17231, 9616, 0.618912, 9103, 513, 9735, 119, 
26, 1, 164, 103, 0, 0.861912, 998, 1473, 413, 14305, 14087, 22948, 14752, 8713, 0.620861, 8278, 443, 9092, 116, 
27, 1, 155, 131, 40, 0.867281, 1145, 1420, 570, 14965, 14835, 24317, 16338, 9198, 0.622197, 8689, 505, 9481, 124, 
28, 1, 114, 108, 0, 0.874759, 922, 1420, 481, 15413, 15309, 25229, 16295, 9609, 0.619566, 9125, 480, 9655, 118, 
29, 1, 96, 86, 30, 0.872021, 817, 1104, 443, 15838, 15727, 25624, 16450, 9776, 0.618914, 9282, 491, 10002, 133, 
30, 1, 112, 81, 0, 0.872678, 863, 958, 424, 16561, 16374, 26956, 17660, 10139, 0.624273, 9605, 530, 10411, 197, 
31, 1, 129, 102, 0, 0.874333, 1045, 1128, 533, 17126, 16995, 28561, 18761, 10611, 0.628856, 10019, 589, 10690, 197, 
32, 1, 132, 114, 0, 0.869366, 1082, 1192, 570, 17557, 17452, 28767, 19844, 10891, 0.621788, 10250, 637, 10955, 215, 
33, 1, 126, 136, 0, 0.859142, 1188, 1225, 682, 18180, 17997, 29132, 19824, 11174, 0.616817, 10546, 624, 11428, 186, 
34, 1, 152, 151, 0, 0.859695, 1341, 1513, 747, 13320, 13204, 20834, 12800, 8208, 0.606463, 7888, 320, 8409, 74, 
35, 1, 161, 189, 0, 0.858994, 1544, 1770, 865, 13964, 13741, 20713, 12068, 8482, 0.590953, 8240, 242, 8878, 90, 
36, 1, 173, 168, 0, 0.859299, 1428, 1982, 751, 14605, 14438, 22261, 13559, 8968, 0.597559, 8658, 310, 9252, 94, 
37, 1, 154, 190, 0, 0.862194, 1434, 1925, 823, 15184, 15009, 23587, 14517, 9346, 0.604151, 8985, 361, 9599, 118, 
38, 1, 144, 175, 30, 0.870588, 1309, 1364, 745, 15747, 15591, 24073, 14342, 9717, 0.596738, 9383, 334, 9999, 82, 
39, 1, 124, 169, 0, 0.869696, 1220, 1471, 727, 16244, 16119, 24881, 14003, 10081, 0.595206, 9805, 276, 10251, 120, 
40, 1, 190, 139, 0, 0.878602, 1138, 1079, 578, 16842, 16649, 26020, 15919, 10369, 0.601851, 9980, 391, 10682, 122, 
41, 1, 149, 97, 0, 0.883402, 726, 666, 313, 17425, 17265, 27084, 16056, 10802, 0.601505, 10406, 398, 11025, 122, 
42, 1, 148, 79, 50, 0.890772, 583, 1115, 191, 17972, 17797, 27787, 16408, 11145, 0.599245, 10749, 398, 11373, 138, 
43, 1, 137, 95, 0, 0.892241, 622, 1815, 243, 18368, 18250, 29048, 17927, 11509, 0.604107, 11049, 462, 11584, 134, 
44, 1, 106, 78, 50, 0.895262, 535, 732, 205, 18699, 18592, 29701, 18596, 11716, 0.60584, 11247, 471, 11797, 164, 
45, 1, 139, 68, 0, 0.891982, 591, 433, 212, 19210, 19045, 30167, 19178, 11959, 0.603875, 11478, 483, 12187, 148, 
46, 1, 146, 78, 0, 0.894557, 673, 529, 249, 19695, 19573, 31579, 20260, 12333, 0.60974, 11794, 541, 12466, 145, 
47, 1, 91, 80, 0, 0.895176, 600, 441, 292, 20011, 19910, 31905, 19776, 12609, 0.60508, 12103, 508, 12642, 131, 
48, 1, 83, 72, 0, 0.898405, 565, 452, 298, 20196, 20130, 31973, 20031, 12771, 0.600856, 12277, 496, 12755, 142, 
49, 1, 112, 88, 0, 0.891811, 723, 524, 372, 20645, 20505, 32885, 21229, 12895, 0.60815, 12323, 574, 13136, 152, 
50, 1, 97, 110, 0, 0.895672, 828, 393, 451, 26343, 26285, 43672, 28323, 16643, 0.619223, 15769, 875, 16517, 240, 
51, 1, 142, 100, 0, 0.900451, 904, 655, 434, 23087, 22922, 36676, 24294, 14412, 0.607933, 13651, 741, 14597, 186, 
52, 1, 151, 122, 0, 0.902042, 1057, 801, 519, 22012, 21843, 34522, 21794, 13756, 0.601772, 13166, 589, 13927, 190, 
53, 1, 131, 124, 50, 0.904, 1028, 1095, 546, 24155, 23994, 38397, 25410, 15141, 0.6064, 14351, 793, 15231, 202, 
54, 1, 134, 142, 0, 0.900218, 1139, 1159, 637, 24531, 24438, 38984, 25751, 15430, 0.604805, 14641, 792, 15497, 184, 
55, 1, 185, 112, 0, 0.901816, 1103, 1491, 496, 25317, 25087, 39441, 26269, 15678, 0.603099, 14904, 777, 16115, 197, 
56, 1, 165, 98, 0, 0.900901, 905, 1755, 398, 26129, 25952, 41876, 27545, 16270, 0.612028, 15348, 964, 16537, 186, 
57, 1, 123, 86, 0, 0.900123, 793, 1491, 338, 26731, 26593, 41922, 27290, 16720, 0.601734, 15921, 802, 16899, 192, 
58, 1, 128, 85, 0, 0.899778, 813, 1419, 402, 27258, 27096, 42960, 27974, 17088, 0.602789, 16276, 815, 17156, 232, 
59, 1, 122, 84, 0, 0.898472, 807, 1258, 434, 27531, 27421, 43768, 28929, 17385, 0.603336, 16518, 870, 17319, 208, 
60, 1, 109, 97, 0, 0.890673, 896, 1212, 503, 27723, 27669, 44046, 28760, 17524, 0.602684, 16676, 851, 17485, 204, 
61, 1, 104, 90, 0, 0.887648, 934, 915, 521, 15324, 15232, 23006, 17666, 9581, 0.586794, 8821, 760, 9731, 69, 
62, 1, 142, 103, 50, 0.88905, 990, 1138, 540, 15668, 15514, 23781, 18150, 9774, 0.591917, 9039, 714, 9933, 105, 
63, 1, 105, 103, 0, 0.890877, 914, 1024, 545, 16117, 15998, 24002, 18478, 10061, 0.583792, 9275, 763, 10292, 64, 
64, 1, 84, 105, 0, 0.891258, 877, 1159, 548, 16478, 16370, 24288, 18652, 10379, 0.575657, 9650, 706, 10419, 99, 
65, 1, 119, 92, 0, 0.894917, 890, 1261, 495, 16818, 16730, 25211, 19088, 10541, 0.584706, 9758, 760, 10740, 64, 
66, 1, 120, 100, 0, 0.890869, 889, 1413, 463, 15704, 15516, 22683, 16462, 9795, 0.570602, 9234, 534, 10060, 72, 
67, 1, 103, 117, 0, 0.890131, 935, 1483, 562, 16191, 16115, 23948, 17608, 10153, 0.578189, 9518, 614, 10335, 109, 
68, 1, 111, 135, 0, 0.887439, 941, 1749, 548, 16678, 16490, 24719, 18622, 10463, 0.578801, 9800, 644, 10509, 186, 
69, 1, 125, 87, 0, 0.887171, 707, 1606, 359, 17234, 17123, 26017, 19800, 10715, 0.590076, 9959, 736, 11106, 80, 
70, 1, 166, 94, 0, 0.89139, 774, 1187, 325, 10869, 10687, 16379, 12380, 6699, 0.5913, 6399, 298, 6999, 104, 
71, 1, 116, 125, 0, 0.900233, 740, 999, 353, 18563, 18456, 28434, 20942, 11612, 0.59336, 10842, 750, 11803, 109, 
72, 1, 124, 121, 0, 0.890545, 776, 756, 366, 19096, 18945, 30942, 20798, 11933, 0.615858, 11220, 692, 12078, 157, 
73, 1, 103, 114, 0, 0.889229, 717, 535, 361, 19551, 19422, 32402, 21723, 12256, 0.623171, 11473, 762, 12371, 146, 
74, 1, 125, 71, 0, 0.899635, 572, 338, 213, 18985, 18854, 31748, 20817, 11958, 0.62447, 11260, 656, 12038, 146, 
75, 1, 141, 75, 0, 0.895506, 624, 406, 209, 19448, 19311, 31759, 21226, 12226, 0.616186, 11504, 680, 12364, 146, 
76, 1, 114, 76, 0, 0.892779, 567, 477, 218, 19893, 19768, 32381, 21190, 12552, 0.613499, 11837, 673, 12620, 146, 
