Iteration, Updated Cameras, Added Points, Moved Points, Inserted Steiner Points, Tracing Index Cache Hit Ratio, Traced Rays, Retraced Rays, Untraced Rays, Insert In Boundary, Remove From Boundary, Single Cell Test, Is Regular Test, Enclosing Cells, Enclosing Volume Cache Hit, Shrinked Singular, Shrinked Several, Grown Singular, Grown Several
0, 3, 265, 0, 150, 0.872761, 603, 0, 0, 582, 292, 0, 265, 0, -nan, 0, 0, 581, 0, 
1, 1, 61, 0, 0, 0.866598, 180, 335, 0, 1117, 1026, 922, 1098, 579, 0.372017, 539, 43, 824, 0, 
2, 1, 64, 0, 0, 0.863257, 185, 349, 0, 1411, 1334, 1458, 1077, 825, 0.434156, 805, 20, 966, 0, 
3, 1, 53, 0, 30, 0.867312, 182, 407, 0, 1651, 1568, 1731, 1368, 967, 0.441363, 922, 45, 1141, 0, 
4, 1, 79, 0, 0, 0.88115, 219, 490, 0, 1950, 1873, 2085, 1329, 1141, 0.452758, 1093, 49, 1348, 0, 
5, 1, 85, 0, 0, 0.882222, 261, 444, 0, 2285, 2177, 2780, 1592, 1349, 0.514748, 1317, 32, 1553, 0, 
6, 1, 89, 0, 0, 0.879362, 288, 573, 0, 2607, 2517, 3049, 2281, 1554, 0.490325, 1482, 72, 1770, 8, 
7, 1, 81, 0, 0, 0.880086, 258, 731, 0, 3014, 2907, 3433, 2759, 1779, 0.481794, 1694, 85, 2050, 0, 
8, 1, 65, 0, 30, 0.879638, 201, 543, 0, 3408, 3327, 3915, 2435, 2051, 0.476117, 2000, 51, 2279, 0, 
9, 1, 79, 0, 0, 0.881379, 235, 523, 0, 3772, 3672, 4422, 2566, 2280, 0.484396, 2230, 50, 2483, 12, 
10, 1, 47, 0, 0, 0.885259, 135, 423, 0, 3996, 3939, 4817, 3227, 2496, 0.481835, 2408, 88, 2591, 12, 
11, 1, 71, 0, 0, 0.892515, 227, 447, 0, 4345, 4234, 5079, 3200, 2604, 0.487301, 2519, 85, 2889, 12, 
12, 1, 83, 0, 0, 0.893215, 240, 535, 0, 4744, 4651, 5730, 3897, 2902, 0.493543, 2807, 95, 3101, 12, 
13, 1, 56, 0, 0, 0.889607, 195, 507, 0, 5085, 5020, 6148, 4123, 3114, 0.493494, 3020, 94, 3335, 0, 
14, 1, 57, 0, 0, 0.899274, 173, 484, 0, 5403, 5331, 6648, 3774, 3336, 0.498195, 3276, 60, 3496, 0, 
15, 1, 85, 0, 0, 0.900291, 253, 637, 0, 5721, 5608, 6858, 3967, 3497, 0.490085, 3419, 78, 3725, 0, 
16, 1, 48, 0, 30, 0.902945, 192, 471, 0, 5984, 5917, 7261, 4452, 3726, 0.486848, 3638, 88, 3872, 0, 
17, 1, 79, 0, 0, 0.895638, 272, 737, 0, 6331, 6230, 7609, 4866, 3873, 0.490998, 3785, 88, 4139, 0, 
18, 1, 68, 0, 0, 0.893945, 245, 527, 0, 6679, 6611, 8102, 4910, 4140, 0.489015, 4051, 89, 4321, 0, 
19, 1, 63, 0, 0, 0.897639, 233, 576, 0, 6959, 6892, 8397, 5062, 4322, 0.485292, 4227, 95, 4482, 5, 
20, 1, 80, 0, 0, 0.888097, 325, 674, 0, 7357, 7242, 8851, 6162, 4488, 0.492939, 4352, 136, 4786, 0, 
