Iteration, Updated Cameras, Added Points, Moved Points, Inserted Steiner Points, Tracing Index Cache Hit Ratio, Traced Rays, Retraced Rays, Untraced Rays, Insert In Boundary, Remove From Boundary, Single Cell Test, Is Regular Test, Enclosing Cells, Enclosing Volume Cache Hit, Shrinked Singular, Shrinked Several, Grown Singular, Grown Several
0, 10, 1143, 0, 180, 0.887541, 3280, 0, 0, 3278, 1943, 0, 2657, 0, -nan, 0, 0, 3252, 25, 
1, 10, 1029, 0, 60, 0.892841, 3264, 817, 0, 8597, 7419, 7830, 7531, 3278, 0.581354, 3127, 151, 6584, 69, 
2, 10, 1187, 0, 30, 0.891327, 3559, 1288, 0, 14656, 13259, 16149, 12393, 6650, 0.58821, 6324, 330, 10424, 91, 
3, 10, 977, 0, 30, 0.896523, 2933, 1263, 0, 18405, 17279, 24386, 15974, 9542, 0.608902, 9107, 444, 12204, 148, 
4, 10, 911, 0, 85, 0.901698, 3106, 710, 0, 18543, 17449, 24188, 15635, 9605, 0.603296, 9141, 395, 12387, 137, 
5, 10, 978, 0, 35, 0.893795, 3517, 1346, 0, 19537, 18354, 25526, 14701, 9874, 0.613648, 9484, 411, 13247, 88, 
6, 10, 1059, 0, 35, 0.885709, 3354, 1354, 0, 14008, 12805, 15603, 10822, 6355, 0.593306, 6109, 282, 9766, 161, 
7, 10, 1120, 0, 70, 0.880821, 3325, 946, 0, 17020, 15680, 19871, 12339, 7987, 0.598663, 7697, 370, 11537, 198, 
8, 10, 939, 0, 35, 0.889597, 2827, 856, 0, 18272, 17175, 25335, 14364, 9418, 0.629067, 9012, 368, 11936, 205, 
9, 10, 1231, 0, 35, 0.882963, 4078, 987, 0, 18828, 17365, 22686, 15561, 9063, 0.601504, 8648, 391, 12799, 288, 
10, 10, 1144, 0, 35, 0.880831, 3498, 1807, 0, 19425, 18118, 24744, 17810, 9728, 0.607314, 9190, 545, 13076, 218, 
11, 10, 1108, 0, 35, 0.879601, 3672, 892, 0, 20489, 19242, 25425, 17905, 10286, 0.595914, 9808, 460, 13862, 191, 
12, 10, 1008, 0, 35, 0.890207, 3427, 1501, 0, 23376, 22182, 28901, 18793, 11968, 0.586154, 11378, 658, 15331, 303, 
13, 10, 1053, 0, 0, 0.872432, 4790, 2050, 0, 24750, 23682, 33023, 18738, 12227, 0.630168, 11594, 628, 16502, 239, 
14, 10, 1541, 0, 100, 0.874809, 5562, 3536, 0, 41684, 40018, 61777, 31595, 22016, 0.643806, 21019, 1105, 26599, 289, 
15, 10, 1014, 0, 0, 0.87666, 3404, 5966, 0, 53567, 52295, 78959, 38569, 29852, 0.622074, 28733, 1196, 33136, 591, 
16, 10, 807, 0, 0, 0.874004, 2463, 7670, 0, 62544, 61525, 102413, 48630, 35863, 0.650196, 34290, 1585, 37925, 828, 
17, 10, 957, 0, 0, 0.870517, 2936, 6606, 0, 51297, 50195, 83624, 44402, 29182, 0.651471, 27696, 1550, 31447, 777, 
18, 10, 1007, 0, 0, 0.875528, 2887, 6499, 0, 54352, 53196, 79208, 45351, 30801, 0.611359, 29521, 1355, 33738, 791, 
19, 10, 994, 0, 0, 0.875533, 3031, 7525, 0, 54144, 53045, 80104, 45008, 30451, 0.62025, 29071, 1460, 33521, 847, 
