Iteration, Updated Cameras, Added Points, Moved Points, Inserted Steiner Points, Tracing Index Cache Hit Ratio, Traced Rays, Retraced Rays, Untraced Rays, Insert In Boundary, Remove From Boundary, Single Cell Test, Is Regular Test, Enclosing Cells, Enclosing Volume Cache Hit, Shrinked Singular, Shrinked Several, Grown Singular, Grown Several
0, 10, 683, 0, 125, 0.801495, 3766, 0, 0, 2778, 2165, 0, 1277, 0, -nan, 0, 0, 2759, 19, 
1, 10, 256, 0, 0, 0.810315, 3610, 3766, 0, 6696, 6573, 7935, 3566, 2732, 0.655703, 2547, 232, 4518, 13, 
2, 10, 102, 0, 0, 0.813885, 2148, 7376, 0, 9062, 9092, 14169, 3370, 4532, 0.680147, 4415, 117, 5267, 0, 
3, 10, 95, 0, 0, 0.813616, 1645, 9524, 0, 10450, 10450, 15378, 1936, 5268, 0.657433, 5247, 21, 5882, 7, 
4, 10, 97, 0, 0, 0.820807, 1263, 11169, 0, 11596, 11558, 19467, 3476, 5890, 0.697437, 5774, 116, 6413, 0, 
5, 10, 299, 0, 0, 0.812057, 2612, 12432, 0, 13439, 13153, 21226, 3320, 6414, 0.697823, 6373, 41, 7688, 82, 
6, 10, 180, 0, 0, 0.818056, 2446, 13544, 0, 15595, 15576, 26641, 4835, 7771, 0.708307, 7617, 154, 8855, 0, 
7, 10, 287, 0, 0, 0.818449, 2780, 16775, 0, 18103, 17914, 30521, 3868, 8856, 0.709839, 8784, 72, 10280, 17, 
8, 10, 181, 0, 0, 0.812493, 2311, 18252, 0, 20222, 20076, 43912, 6662, 10187, 0.768013, 9815, 483, 11164, 0, 
9, 10, 144, 0, 0, 0.815618, 1720, 20257, 0, 21665, 21496, 37925, 4810, 11165, 0.705603, 11098, 67, 11775, 115, 
10, 10, 351, 0, 0, 0.817302, 3093, 21727, 0, 23832, 23525, 49679, 10359, 11768, 0.763119, 11297, 580, 13316, 195, 
11, 10, 262, 0, 0, 0.821427, 3255, 23028, 0, 26638, 26498, 59124, 11222, 13362, 0.774, 12780, 743, 14831, 158, 
12, 10, 258, 0, 0, 0.825451, 3373, 16732, 0, 29296, 29120, 67698, 11779, 14787, 0.781574, 14191, 791, 16176, 150, 
13, 10, 340, 0, 0, 0.830841, 3713, 15574, 0, 32380, 32198, 69389, 12745, 16156, 0.767168, 15507, 828, 18098, 149, 
14, 10, 321, 0, 0, 0.830303, 3791, 13046, 0, 35634, 35308, 77910, 12634, 18128, 0.767321, 17565, 683, 19604, 170, 
15, 10, 285, 0, 0, 0.835099, 3902, 14509, 0, 38433, 38290, 87533, 15924, 19520, 0.776998, 18581, 1194, 21195, 182, 
16, 10, 379, 0, 0, 0.834455, 4230, 17589, 0, 41839, 41522, 94775, 19665, 21145, 0.776893, 20104, 1274, 23109, 224, 
17, 10, 440, 0, 0, 0.835719, 4622, 18349, 0, 45614, 45256, 114523, 22910, 22969, 0.799438, 21636, 1687, 25124, 354, 
18, 10, 413, 0, 0, 0.833206, 4503, 27609, 0, 49621, 49458, 106624, 20206, 25289, 0.762821, 24345, 1144, 27496, 207, 
19, 10, 471, 0, 0, 0.829679, 5038, 35258, 0, 53980, 53463, 156662, 28694, 27262, 0.825982, 25749, 1949, 29380, 649, 
20, 10, 392, 0, 0, 0.834548, 4532, 41642, 0, 58574, 58608, 130882, 24800, 29760, 0.77262, 28530, 1505, 32538, 270, 
21, 10, 440, 0, 0, 0.827868, 3909, 41108, 0, 63183, 62580, 176005, 36504, 32057, 0.817863, 29723, 3071, 33783, 859, 
22, 10, 280, 0, 0, 0.832725, 2231, 24408, 0, 66115, 66177, 159039, 30939, 34240, 0.784707, 32397, 2260, 36130, 186, 
23, 10, 322, 0, 0, 0.832737, 3044, 7600, 0, 69304, 68960, 173119, 36644, 35567, 0.794552, 33224, 3081, 37353, 457, 
24, 10, 371, 0, 0, 0.833817, 3857, 7761, 0, 72500, 72331, 183915, 39420, 37093, 0.798314, 34484, 3332, 39653, 206, 
25, 10, 354, 0, 0, 0.832163, 3604, 10100, 0, 76153, 75898, 207382, 40104, 38992, 0.81198, 36228, 3637, 41477, 178, 
26, 10, 363, 0, 0, 0.823412, 3862, 12837, 0, 79108, 78709, 193730, 39039, 40855, 0.789114, 38384, 3260, 42641, 461, 
27, 10, 164, 0, 0, 0.8222, 2730, 15224, 0, 81303, 81343, 207121, 39796, 42418, 0.795202, 39920, 3188, 44044, 208, 
28, 10, 107, 0, 0, 0.820739, 1838, 17576, 0, 82931, 82869, 211183, 41704, 43345, 0.794751, 40543, 3715, 44520, 197, 
29, 10, 177, 0, 0, 0.830237, 1903, 35907, 0, 84049, 83838, 207623, 41824, 43913, 0.788496, 41310, 3396, 44998, 466, 
30, 10, 140, 0, 0, 0.834568, 1590, 22193, 0, 85491, 85530, 217716, 41438, 44799, 0.794232, 42285, 3185, 46172, 200, 
31, 10, 165, 0, 0, 0.829459, 1552, 20620, 0, 87205, 87132, 218485, 42335, 45518, 0.791665, 42769, 3609, 46946, 220, 
32, 10, 270, 0, 0, 0.823834, 2070, 23304, 0, 89317, 89159, 222307, 43932, 46312, 0.791675, 43554, 3601, 48122, 470, 
33, 10, 127, 0, 0, 0.815638, 1442, 14411, 0, 91515, 91639, 237019, 43037, 47882, 0.797982, 45232, 3366, 49327, 200, 
34, 10, 102, 0, 0, 0.814168, 1179, 11319, 0, 93142, 93149, 239527, 42482, 48683, 0.796754, 45963, 3570, 49910, 212, 
35, 10, 203, 0, 0, 0.81298, 1726, 26614, 0, 94888, 94780, 250016, 46196, 49199, 0.803217, 46276, 3835, 50797, 510, 
36, 10, 211, 0, 0, 0.800286, 2186, 13905, 0, 97056, 96930, 258416, 51069, 50369, 0.805086, 47163, 4139, 51646, 784, 
37, 10, 327, 0, 0, 0.792666, 2835, 14959, 0, 100462, 100669, 266409, 47241, 51590, 0.80635, 48506, 3938, 54632, 202, 
38, 10, 146, 0, 0, 0.797268, 1605, 14125, 0, 103809, 103694, 309534, 45542, 53937, 0.825748, 51058, 3767, 55138, 476, 
39, 10, 193, 0, 0, 0.800429, 1984, 12748, 0, 105713, 105739, 267923, 45338, 54833, 0.79534, 51999, 3621, 56635, 229, 
40, 10, 170, 0, 0, 0.798562, 1975, 10987, 0, 107889, 107856, 324512, 51666, 55661, 0.828478, 51992, 4878, 57556, 250, 
41, 10, 105, 0, 0, 0.809463, 1498, 13252, 0, 108832, 108253, 342846, 61714, 56593, 0.834932, 52741, 5025, 56355, 1575, 
42, 10, 93, 0, 0, 0.810188, 1276, 14487, 0, 109653, 110219, 318506, 51583, 57130, 0.820631, 53827, 4138, 58897, 238, 
43, 10, 153, 0, 0, 0.805939, 1666, 16766, 0, 112274, 112298, 312853, 54303, 57779, 0.815316, 53768, 5373, 59829, 226, 
