Iteration, Updated Cameras, Added Points, Moved Points, Inserted Steiner Points, Tracing Index Cache Hit Ratio, Traced Rays, Retraced Rays, Untraced Rays, Insert In Boundary, Remove From Boundary, Single Cell Test, Is Regular Test, Enclosing Cells, Enclosing Volume Cache Hit, Shrinked Singular, Shrinked Several, Grown Singular, Grown Several
0, 4, 636, 0, 150, 0.855471, 1796, 0, 0, 2953, 2289, 0, 1348, 0, -nan, 0, 0, 2892, 63, 
1, 4, 469, 0, 0, 0.861178, 1726, 1282, 0, 7563, 7058, 7500, 4268, 2956, 0.605867, 2859, 97, 5149, 125, 
2, 4, 511, 0, 0, 0.866094, 1574, 1324, 0, 11867, 11354, 15095, 6951, 5220, 0.65419, 4902, 373, 7733, 31, 
3, 4, 481, 0, 25, 0.875091, 1505, 1070, 0, 16230, 15772, 22237, 6817, 7725, 0.652606, 7536, 229, 10088, 63, 
4, 4, 464, 0, 0, 0.871088, 1755, 968, 0, 20456, 20052, 30418, 10032, 10072, 0.66888, 9721, 431, 12372, 78, 
5, 4, 552, 0, 25, 0.863798, 2001, 1614, 0, 25232, 24794, 39104, 12998, 12267, 0.686298, 11672, 779, 15246, 93, 
6, 4, 531, 0, 0, 0.86479, 1806, 2046, 0, 30400, 29934, 52372, 16887, 15056, 0.712518, 14131, 1201, 17966, 99, 
7, 4, 529, 0, 70, 0.869443, 1975, 1951, 0, 31990, 31489, 54363, 19956, 15846, 0.708788, 14755, 1428, 18332, 449, 
8, 4, 499, 0, 0, 0.869359, 1969, 1457, 0, 36705, 36349, 60411, 21928, 18436, 0.695006, 17259, 1540, 21239, 153, 
9, 4, 640, 0, 0, 0.860193, 2561, 2221, 0, 30887, 30408, 49505, 14295, 14888, 0.699621, 14176, 848, 18279, 95, 
10, 4, 607, 0, 30, 0.872902, 2030, 2115, 0, 36574, 35947, 62756, 20914, 18030, 0.712939, 16778, 1596, 21111, 86, 
11, 4, 530, 0, 100, 0.888935, 1480, 1668, 0, 41250, 40751, 72435, 22203, 20830, 0.712642, 19517, 1680, 23574, 113, 
12, 4, 432, 0, 0, 0.897039, 1350, 814, 0, 45350, 44946, 79162, 24409, 23321, 0.705599, 21935, 1752, 25716, 89, 
13, 4, 521, 0, 50, 0.895269, 1867, 831, 0, 60610, 60078, 104882, 33217, 31380, 0.701003, 29500, 2471, 34283, 176, 
14, 4, 607, 0, 0, 0.895007, 2071, 1770, 0, 57809, 57245, 96883, 29092, 29840, 0.692517, 28293, 1815, 32922, 126, 
15, 4, 463, 0, 0, 0.887357, 1590, 1649, 0, 62523, 62092, 100928, 33632, 32579, 0.677716, 30607, 2441, 35248, 150, 
16, 4, 450, 0, 50, 0.886402, 1543, 1638, 0, 39478, 39143, 63211, 20237, 20394, 0.679491, 19010, 1420, 22552, 75, 
17, 4, 459, 0, 0, 0.883279, 1540, 1894, 0, 40075, 39795, 64651, 19234, 20647, 0.682261, 19507, 1113, 22980, 91, 
18, 4, 509, 0, 0, 0.890539, 1602, 1356, 0, 44680, 44211, 100748, 23524, 22861, 0.773763, 21338, 1733, 25425, 102, 
19, 4, 512, 0, 50, 0.897713, 1535, 513, 0, 46881, 46337, 104159, 24216, 24156, 0.768583, 22869, 1545, 26679, 99, 
