Iteration, Updated Cameras, Added Points, Moved Points, Inserted Steiner Points, Tracing Index Cache Hit Ratio, Traced Rays, Retraced Rays, Untraced Rays, Insert In Boundary, Remove From Boundary, Single Cell Test, Is Regular Test, Enclosing Cells, Enclosing Volume Cache Hit, Shrinked Singular, Shrinked Several, Grown Singular, Grown Several
0, 10, 910, 0, 100, 0.861392, 4584, 0, 0, 2983, 1924, 0, 1768, 0, -nan, 0, 0, 2982, 0, 
1, 10, 585, 0, 0, 0.864431, 3903, 2919, 0, 7712, 7105, 5411, 3538, 2983, 0.448716, 2957, 26, 5781, 6, 
2, 10, 459, 0, 0, 0.872915, 2271, 1888, 0, 11507, 10986, 12302, 5588, 5788, 0.529507, 5700, 88, 7368, 17, 
3, 10, 542, 0, 0, 0.875147, 2226, 2255, 0, 14479, 13906, 15221, 7077, 7386, 0.514749, 7256, 130, 9267, 12, 
4, 10, 539, 0, 0, 0.859562, 2656, 796, 0, 17821, 17272, 20462, 7802, 9280, 0.546476, 9143, 137, 11286, 14, 
5, 10, 472, 0, 0, 0.84755, 2574, 1487, 0, 21128, 20626, 24449, 9350, 11301, 0.537773, 11109, 192, 13121, 14, 
6, 10, 533, 0, 0, 0.842747, 2816, 1873, 0, 24587, 24064, 28322, 10387, 13136, 0.536191, 12936, 200, 15247, 14, 
7, 10, 376, 0, 0, 0.849189, 1901, 1848, 0, 27684, 27277, 33060, 11955, 15262, 0.538355, 15029, 233, 16741, 14, 
8, 10, 508, 0, 0, 0.851428, 2481, 1569, 0, 31164, 30700, 36485, 13285, 16756, 0.540743, 16500, 256, 19116, 33, 
9, 10, 667, 0, 50, 0.835529, 2860, 1413, 0, 36601, 36183, 44684, 17302, 19083, 0.572934, 18630, 514, 22478, 190, 
10, 10, 661, 0, 60, 0.805271, 3213, 1809, 0, 43630, 43556, 62888, 19190, 22606, 0.640536, 22022, 650, 26463, 127, 
11, 10, 381, 0, 0, 0.801378, 2582, 3873, 0, 49881, 49886, 110146, 23558, 26422, 0.760118, 25515, 1077, 28817, 197, 
12, 10, 552, 0, 0, 0.800423, 3961, 5689, 0, 55661, 55566, 133456, 26176, 28651, 0.785315, 27341, 1646, 32168, 201, 
13, 10, 518, 0, 0, 0.79441, 3614, 8115, 0, 62292, 62319, 125200, 25573, 32157, 0.743155, 31043, 1352, 35567, 159, 
14, 10, 458, 0, 0, 0.789857, 2802, 9820, 0, 68399, 68305, 167347, 33945, 35199, 0.789665, 33416, 2271, 37861, 655, 
15, 10, 613, 0, 0, 0.78837, 3706, 10213, 0, 75172, 75260, 203703, 33987, 37999, 0.813459, 36062, 2493, 42382, 151, 
16, 10, 387, 0, 0, 0.789719, 2941, 9998, 0, 81687, 81709, 226845, 38402, 41770, 0.815865, 39401, 3112, 44683, 326, 
17, 10, 413, 0, 0, 0.793569, 2791, 9543, 0, 86617, 86501, 273639, 39143, 44277, 0.838192, 41834, 3135, 46915, 530, 
18, 10, 301, 0, 0, 0.795989, 1829, 10534, 0, 91036, 91141, 269959, 43281, 46780, 0.826714, 44242, 3249, 49217, 293, 
19, 10, 293, 0, 0, 0.800171, 1756, 8351, 0, 94600, 94315, 323327, 53161, 48603, 0.849678, 45482, 4002, 49878, 1132, 
20, 10, 263, 0, 0, 0.796648, 1709, 8546, 0, 97608, 97801, 333755, 49377, 50271, 0.849378, 47295, 3729, 52331, 447, 
21, 10, 319, 0, 0, 0.802451, 2089, 8342, 0, 100842, 100247, 403499, 63299, 51703, 0.871863, 48071, 4656, 51997, 2199, 
22, 10, 456, 0, 0, 0.804866, 3161, 8306, 0, 104904, 105406, 375064, 55091, 53303, 0.857883, 49732, 4403, 56973, 374, 
23, 10, 572, 0, 0, 0.810792, 4359, 7913, 0, 112190, 112177, 433450, 58716, 56133, 0.870497, 52205, 5208, 60443, 481, 
24, 10, 362, 0, 0, 0.812848, 3142, 9698, 0, 117693, 117511, 433296, 70770, 59528, 0.862616, 54962, 5966, 61493, 1496, 
25, 10, 274, 0, 0, 0.817793, 1823, 11756, 0, 121411, 121538, 456006, 62585, 61823, 0.864425, 57818, 5184, 64290, 535, 
26, 10, 304, 0, 0, 0.831752, 2269, 7918, 0, 124579, 124207, 492999, 70775, 63244, 0.871716, 58263, 6459, 65557, 514, 
27, 10, 331, 0, 0, 0.818233, 2448, 10319, 0, 126887, 126280, 553065, 78680, 64567, 0.883256, 59436, 6724, 65521, 2023, 
28, 10, 348, 0, 0, 0.815971, 2477, 8950, 0, 129021, 128416, 495507, 80201, 66284, 0.86623, 61693, 5894, 66623, 2296, 
29, 10, 432, 0, 0, 0.81524, 2435, 9543, 0, 132267, 132295, 463823, 77776, 67645, 0.854158, 63124, 5771, 69294, 2183, 
30, 10, 370, 0, 0, 0.814542, 2593, 11114, 0, 136621, 136009, 507127, 87213, 69989, 0.861989, 64872, 6598, 70164, 3120, 
31, 10, 295, 0, 0, 0.815507, 1794, 18267, 0, 140299, 141271, 516679, 76953, 72061, 0.86053, 67024, 6294, 75166, 538, 
32, 10, 488, 0, 0, 0.815506, 2368, 14428, 0, 146246, 146085, 591010, 84712, 73868, 0.875014, 67967, 7700, 77685, 675, 
33, 10, 383, 0, 0, 0.811206, 2318, 14850, 0, 150227, 149270, 649445, 95892, 76587, 0.882073, 70866, 7471, 76618, 3364, 
34, 4, 98, 0, 0, 0.814282, 737, 6120, 0, 151999, 152777, 527913, 89566, 78421, 0.851451, 72747, 7167, 79287, 1738, 
