Iteration, Updated Cameras, Added Points, Moved Points, Inserted Steiner Points, Tracing Index Cache Hit Ratio, Traced Rays, Retraced Rays, Untraced Rays, Insert In Boundary, Remove From Boundary, Single Cell Test, Is Regular Test, Enclosing Cells, Enclosing Volume Cache Hit, Shrinked Singular, Shrinked Several, Grown Singular, Grown Several
0, 10, 936, 0, 210, 0.894657, 3010, 0, 0, 3114, 1915, 0, 2478, 0, -nan, 0, 0, 3100, 13, 
1, 10, 825, 0, 70, 0.904986, 2965, 1175, 0, 8002, 6982, 8116, 5951, 3114, 0.616313, 3033, 81, 6070, 16, 
2, 10, 1055, 0, 80, 0.887004, 3960, 1587, 0, 13911, 12588, 14286, 9717, 6087, 0.573919, 5946, 141, 9976, 68, 
3, 10, 1325, 0, 45, 0.871116, 4985, 2147, 0, 20658, 18984, 23484, 15442, 9336, 0.602875, 9014, 409, 14389, 106, 
4, 10, 1064, 0, 45, 0.884576, 3312, 2581, 0, 28034, 26647, 39657, 20368, 14384, 0.637546, 13896, 585, 18367, 120, 
5, 10, 1255, 0, 45, 0.890053, 4250, 1686, 0, 31087, 29531, 49770, 23071, 15818, 0.682981, 15067, 782, 20313, 92, 
6, 10, 1211, 0, 45, 0.884969, 3864, 2175, 0, 27090, 25556, 41140, 18185, 13595, 0.669968, 13193, 514, 17865, 121, 
7, 10, 1200, 0, 45, 0.89466, 3747, 1839, 0, 20165, 18688, 28469, 13983, 9744, 0.658249, 9436, 284, 13741, 54, 
8, 10, 1155, 0, 45, 0.892927, 3739, 2353, 0, 21427, 19888, 26881, 15075, 10374, 0.614593, 10095, 290, 14420, 188, 
9, 10, 1036, 0, 180, 0.88673, 3267, 1939, 0, 27889, 26559, 41177, 20893, 14573, 0.646381, 14068, 540, 18136, 253, 
10, 10, 1072, 0, 0, 0.889555, 3813, 2054, 0, 27412, 26062, 40867, 22046, 14049, 0.656672, 13412, 644, 18014, 299, 
11, 10, 1247, 0, 90, 0.873781, 5076, 2308, 0, 27767, 26244, 47260, 22585, 13647, 0.711608, 12856, 935, 18407, 187, 
12, 10, 1191, 0, 156, 0.880041, 3613, 3029, 0, 24547, 23072, 33796, 15390, 11925, 0.647648, 11614, 290, 16408, 107, 
13, 10, 1286, 0, 66, 0.885011, 4268, 1881, 0, 25073, 23550, 34051, 14602, 12113, 0.644686, 11834, 278, 16692, 21, 
14, 10, 1210, 0, 66, 0.884532, 3823, 3262, 0, 32475, 30982, 43966, 18017, 16714, 0.620188, 16420, 293, 21008, 30, 
15, 10, 1063, 0, 66, 0.888755, 3536, 2614, 0, 38881, 37572, 54145, 21944, 20884, 0.614587, 20522, 349, 24709, 21, 
16, 10, 1078, 0, 0, 0.881056, 4113, 2098, 0, 35823, 34523, 46176, 20843, 18860, 0.592525, 18418, 437, 22953, 56, 
17, 10, 929, 0, 0, 0.883343, 3559, 3160, 0, 27248, 26199, 35899, 16924, 13866, 0.614373, 13405, 513, 17775, 45, 
18, 10, 1048, 0, 66, 0.891556, 3235, 2331, 0, 33978, 32637, 51464, 21596, 17712, 0.656151, 17108, 712, 21627, 79, 
19, 10, 924, 0, 0, 0.888813, 3705, 2038, 0, 25321, 24139, 39228, 17617, 12790, 0.674861, 12148, 674, 16263, 31, 
20, 10, 1075, 0, 66, 0.88844, 3578, 2528, 0, 21708, 20417, 26250, 14135, 10584, 0.598132, 10260, 334, 14497, 10, 
21, 10, 1108, 0, 66, 0.880345, 4287, 2086, 0, 20403, 18954, 23469, 12654, 9696, 0.587439, 9523, 185, 13863, 63, 
22, 10, 1241, 0, 204, 0.873326, 4587, 2830, 0, 22264, 20724, 26967, 15222, 10568, 0.60881, 10278, 269, 15120, 110, 
23, 10, 1280, 0, 72, 0.873489, 4803, 2218, 0, 26070, 24467, 37880, 21263, 12817, 0.662337, 12188, 646, 17271, 171, 
24, 10, 1259, 0, 288, 0.880485, 4056, 1992, 0, 22895, 21276, 37373, 17534, 10851, 0.710153, 10347, 548, 15497, 121, 
25, 10, 1082, 0, 84, 0.88751, 3450, 1944, 0, 37640, 36314, 67156, 28951, 20061, 0.701824, 19088, 1050, 23974, 224, 
26, 10, 1113, 0, 0, 0.87982, 4109, 1650, 0, 29063, 27666, 57578, 20890, 14843, 0.742871, 14192, 638, 18842, 200, 
27, 10, 1372, 0, 84, 0.878575, 4374, 1911, 0, 32389, 30618, 54801, 24407, 16517, 0.698974, 15893, 636, 21100, 228, 
28, 10, 1231, 0, 84, 0.887473, 4461, 2006, 0, 39717, 38210, 63492, 29026, 21042, 0.668734, 20356, 726, 25586, 242, 
29, 10, 1270, 0, 0, 0.885709, 4108, 2480, 0, 47698, 46073, 77552, 34797, 25801, 0.66741, 25016, 820, 30290, 277, 
30, 10, 1199, 0, 0, 0.88936, 3763, 1478, 0, 43829, 42288, 75185, 32032, 23751, 0.684644, 22937, 848, 27756, 262, 
31, 10, 1191, 0, 378, 0.890318, 3840, 2134, 0, 37138, 35638, 62868, 28380, 19755, 0.686309, 18965, 869, 23755, 221, 
32, 10, 1237, 0, 189, 0.892221, 3811, 2020, 0, 31151, 29551, 45599, 23734, 16118, 0.647586, 15453, 600, 20263, 326, 
33, 10, 1206, 0, 189, 0.895363, 3924, 1874, 0, 25531, 24017, 36389, 17558, 12795, 0.649337, 12339, 382, 17076, 122, 
34, 10, 1368, 0, 189, 0.889978, 4195, 1955, 0, 5965, 9040, 24922, 3056, 9053, 0.637329, 8858, 179, 2, 0, 
35, 10, 1331, 0, 378, 0.887208, 4055, 1862, 0, 18733, 12167, 0, 11382, 0, -nan, 0, 0, 18703, 32, 
36, 10, 1338, 0, 189, 0.889198, 4346, 1705, 0, 23415, 21669, 28891, 17664, 11479, 0.603187, 11156, 300, 15983, 70, 
37, 10, 1558, 0, 189, 0.887547, 4449, 1887, 0, 24956, 22980, 30285, 19498, 12048, 0.602573, 11684, 413, 17335, 43, 
38, 10, 1418, 0, 189, 0.89869, 3995, 1606, 0, 21268, 19460, 24354, 16540, 10224, 0.580554, 9944, 254, 14874, 52, 
39, 10, 1359, 0, 546, 0.898817, 4011, 1591, 0, 23349, 21600, 28337, 18106, 11604, 0.590861, 11295, 313, 16072, 27, 
40, 10, 1333, 0, 371, 0.893032, 4089, 1943, 0, 25148, 23429, 30419, 19501, 12542, 0.588463, 12115, 439, 17275, 62, 
41, 10, 1326, 0, 203, 0.896787, 3769, 2034, 0, 25150, 23427, 33374, 20618, 12480, 0.626325, 12033, 514, 17227, 67, 
42, 10, 1196, 0, 392, 0.893397, 3797, 1822, 0, 25657, 24145, 35645, 20032, 13251, 0.62848, 12866, 399, 17198, 72, 
43, 10, 1398, 0, 406, 0.893963, 4415, 1320, 0, 21154, 19367, 25767, 15531, 10058, 0.610834, 9736, 308, 14724, 16, 
44, 10, 1313, 0, 217, 0.887534, 4099, 1698, 0, 21741, 20110, 24922, 16180, 10620, 0.574383, 10343, 269, 15118, 22, 
45, 10, 1327, 0, 427, 0.881065, 4580, 2103, 0, 29374, 27742, 36366, 21436, 15147, 0.583828, 14739, 401, 19855, 22, 
46, 10, 1345, 0, 224, 0.885091, 4347, 2765, 0, 31414, 29693, 40427, 21408, 16344, 0.596085, 15999, 373, 20910, 96, 
47, 10, 1337, 0, 224, 0.897039, 4018, 1833, 0, 32234, 30547, 41028, 23404, 16733, 0.592484, 16288, 491, 21357, 111, 
48, 10, 1238, 0, 224, 0.896253, 3516, 1776, 0, 30724, 29191, 39460, 23736, 16128, 0.591893, 15617, 536, 20168, 106, 
49, 10, 1324, 0, 0, 0.88206, 5205, 1266, 0, 30573, 28896, 42012, 24037, 15962, 0.621161, 15379, 559, 20250, 140, 
50, 10, 1456, 0, 0, 0.871887, 4622, 2806, 0, 28336, 26436, 39804, 21262, 14289, 0.641457, 13866, 362, 19139, 94, 
51, 10, 1458, 0, 0, 0.879086, 4477, 2273, 0, 36392, 34551, 52408, 25808, 19294, 0.632194, 18858, 375, 24083, 103, 
52, 10, 1255, 0, 0, 0.882588, 3930, 1729, 0, 32262, 30663, 45270, 24639, 16906, 0.627506, 16355, 571, 21150, 320, 
53, 10, 1295, 0, 0, 0.883115, 4252, 1984, 0, 35351, 33734, 55304, 29723, 18474, 0.666913, 17538, 1001, 22954, 292, 
54, 10, 1352, 0, 0, 0.876331, 5001, 2340, 0, 37114, 35492, 54833, 29455, 19105, 0.652807, 18082, 1052, 24186, 287, 
55, 10, 1289, 0, 0, 0.886222, 4301, 2789, 0, 37176, 35577, 65305, 29378, 19284, 0.705196, 18298, 1098, 23897, 170, 
56, 10, 1135, 0, 0, 0.883256, 3633, 2854, 0, 48872, 47452, 83694, 35997, 26618, 0.682529, 25531, 1123, 30834, 245, 
57, 10, 1251, 0, 0, 0.877484, 4204, 1539, 0, 43817, 42231, 66749, 32536, 23402, 0.649917, 22409, 984, 27911, 276, 
58, 10, 1161, 0, 0, 0.877168, 3538, 1937, 0, 48067, 46657, 78669, 37551, 26322, 0.666472, 25026, 1183, 30215, 353, 
59, 10, 1230, 0, 0, 0.87954, 3956, 1693, 0, 35379, 33859, 50839, 25438, 18284, 0.64123, 17434, 881, 22917, 158, 
60, 10, 1339, 0, 0, 0.86926, 4540, 2238, 0, 35445, 33788, 55911, 24803, 18304, 0.673009, 17554, 760, 22817, 198, 
61, 10, 1257, 0, 0, 0.882706, 4109, 1920, 0, 43264, 41601, 71697, 32931, 22957, 0.680109, 21887, 1134, 27550, 241, 
62, 10, 1469, 0, 0, 0.891754, 4671, 1816, 0, 24769, 22991, 36801, 21014, 11836, 0.67905, 11196, 642, 16864, 92, 
63, 10, 1480, 0, 0, 0.885961, 4963, 2158, 0, 25962, 24067, 36646, 21806, 12682, 0.654761, 12132, 529, 17597, 116, 
64, 10, 1456, 0, 0, 0.883081, 4654, 3213, 0, 25649, 23854, 35244, 19092, 12521, 0.645036, 12147, 294, 17663, 45, 
65, 10, 1417, 0, 0, 0.882224, 4926, 1989, 0, 28538, 26711, 38774, 19398, 14145, 0.635316, 13836, 349, 19277, 99, 
66, 10, 1344, 0, 0, 0.881024, 4305, 2433, 0, 30795, 29081, 59883, 24628, 15623, 0.73953, 14888, 672, 20339, 202, 
67, 10, 1384, 0, 0, 0.894006, 4016, 1795, 0, 22361, 20614, 35100, 20338, 10596, 0.698969, 9900, 744, 15187, 130, 
68, 10, 1167, 0, 0, 0.898627, 3838, 1513, 0, 23143, 21672, 31212, 18475, 11467, 0.633009, 11071, 436, 15558, 135, 
69, 10, 1162, 0, 0, 0.892859, 3631, 2206, 0, 17618, 16122, 21580, 13686, 8158, 0.622315, 7847, 360, 12278, 64, 
70, 10, 1392, 0, 0, 0.890369, 4297, 1739, 0, 19357, 17546, 21737, 14455, 8657, 0.602251, 8357, 316, 13685, 55, 
71, 10, 1393, 0, 448, 0.889184, 4335, 2252, 0, 23123, 21320, 26981, 17687, 11003, 0.592647, 10670, 340, 15759, 243, 
72, 10, 1389, 0, 224, 0.8904, 4174, 2088, 0, 25493, 23770, 33959, 21903, 12588, 0.629492, 12024, 592, 17253, 130, 
73, 10, 1179, 0, 224, 0.88854, 3983, 1982, 0, 26780, 25318, 37230, 20429, 13809, 0.629537, 13369, 416, 17835, 100, 
74, 10, 1331, 0, 224, 0.892329, 4476, 2159, 0, 26840, 25137, 34961, 18541, 13352, 0.618449, 13052, 303, 18161, 24, 
75, 10, 1396, 0, 224, 0.88368, 5483, 2546, 0, 28858, 27224, 35233, 18739, 13979, 0.603489, 13750, 233, 19773, 48, 
76, 10, 1244, 0, 0, 0.878722, 3745, 4163, 0, 29913, 28330, 47908, 22956, 15121, 0.684486, 14518, 717, 19517, 91, 
77, 10, 1234, 0, 0, 0.886712, 4329, 1447, 0, 27364, 25863, 46571, 21674, 13310, 0.714684, 12524, 856, 18086, 100, 
78, 10, 1559, 0, 224, 0.880821, 4926, 1996, 0, 25034, 23002, 31158, 17702, 11674, 0.62636, 11285, 392, 16962, 131, 
79, 10, 1462, 0, 0, 0.880183, 4963, 2378, 0, 24385, 22617, 28703, 15472, 11575, 0.597083, 11336, 227, 16737, 75, 
80, 10, 1485, 0, 448, 0.870405, 4763, 3551, 0, 32616, 30737, 40631, 20647, 16832, 0.58601, 16526, 292, 21467, 93, 
81, 10, 1533, 0, 224, 0.884555, 5057, 2506, 0, 40858, 38937, 51532, 26471, 21564, 0.581744, 21135, 417, 26863, 79, 
82, 10, 1324, 0, 224, 0.887832, 4219, 2542, 0, 41853, 40182, 51390, 26315, 22439, 0.563859, 21996, 397, 27288, 90, 
83, 10, 1404, 0, 224, 0.89019, 4332, 1783, 0, 22882, 21127, 24888, 13967, 10667, 0.572139, 10332, 348, 15828, 22, 
84, 10, 1490, 0, 224, 0.900304, 4908, 2290, 0, 24783, 22893, 27388, 16191, 11631, 0.57579, 11297, 305, 17034, 22, 
85, 10, 1334, 0, 224, 0.898482, 4185, 2063, 0, 26322, 24600, 32001, 17840, 12930, 0.596278, 12520, 475, 17641, 46, 
86, 10, 1380, 0, 0, 0.890579, 4011, 2091, 0, 27047, 25190, 31895, 18645, 13641, 0.572583, 13237, 429, 18112, 22, 
87, 10, 1254, 0, 224, 0.888909, 3461, 2081, 0, 26770, 25181, 30387, 17623, 13914, 0.542589, 13671, 217, 18012, 55, 
88, 10, 1142, 0, 0, 0.885622, 3721, 1514, 0, 25142, 23639, 29118, 17768, 13166, 0.548228, 12796, 298, 16972, 24, 
