Iteration, Updated Cameras, Added Points, Moved Points, Inserted Steiner Points, Tracing Index Cache Hit Ratio, Traced Rays, Retraced Rays, Untraced Rays, Insert In Boundary, Remove From Boundary, Single Cell Test, Is Regular Test, Enclosing Cells, Enclosing Volume Cache Hit, Shrinked Singular, Shrinked Several, Grown Singular, Grown Several
0, 10, 1385, 0, 150, 0.885427, 4242, 0, 0, 3671, 2126, 0, 3086, 0, -nan, 0, 0, 3658, 12, 
1, 10, 1262, 0, 60, 0.879246, 4088, 1611, 0, 9812, 8349, 7488, 7968, 3671, 0.509749, 3574, 97, 7659, 26, 
2, 10, 1084, 0, 70, 0.868246, 4220, 1690, 0, 16367, 15124, 16608, 12374, 7686, 0.537211, 7466, 220, 11669, 19, 
3, 10, 1179, 0, 40, 0.877007, 4274, 1722, 0, 23117, 21781, 27295, 15533, 11688, 0.57179, 11459, 230, 15647, 31, 
4, 10, 1290, 0, 80, 0.883035, 4084, 1081, 0, 29755, 28219, 38834, 20218, 15623, 0.597698, 15233, 446, 19614, 50, 
5, 10, 1506, 0, 40, 0.885859, 4314, 660, 0, 27901, 26255, 37040, 19446, 14443, 0.611486, 13872, 505, 18533, 85, 
6, 10, 1406, 0, 0, 0.884009, 3975, 1101, 0, 21011, 19420, 26199, 15018, 10616, 0.596258, 10172, 387, 14354, 37, 
7, 10, 1403, 0, 145, 0.884039, 4561, 861, 0, 22674, 21091, 26712, 15058, 11485, 0.570606, 11187, 282, 15540, 81, 
8, 10, 1424, 0, 115, 0.878418, 4474, 1962, 0, 24749, 23105, 28340, 16930, 12482, 0.559966, 12110, 408, 16920, 152, 
9, 10, 1431, 0, 290, 0.873401, 4300, 1017, 0, 25078, 23527, 32350, 18785, 12726, 0.60704, 12131, 662, 16900, 161, 
10, 10, 1381, 0, 162, 0.88279, 4794, 1366, 0, 25133, 23519, 34477, 17790, 12591, 0.63535, 12050, 579, 16990, 101, 
11, 10, 1340, 0, 72, 0.879265, 4162, 1384, 0, 20439, 18864, 25593, 14246, 9896, 0.614702, 9480, 429, 13934, 58, 
12, 10, 858, 0, 72, 0.874145, 2611, 1422, 0, 24932, 23917, 34347, 16316, 13326, 0.612492, 12898, 487, 16367, 34, 
13, 10, 889, 0, 72, 0.864955, 3155, 1565, 0, 22680, 21722, 30286, 15269, 12034, 0.603244, 11635, 381, 14921, 48, 
14, 10, 965, 0, 192, 0.871591, 3235, 1799, 0, 22773, 21626, 27267, 14345, 11737, 0.570702, 11401, 323, 14984, 146, 
15, 10, 1002, 0, 78, 0.878539, 3293, 1404, 0, 22865, 21675, 29515, 16515, 11652, 0.605672, 11160, 617, 14950, 166, 
16, 10, 1078, 0, 78, 0.888513, 3629, 1134, 0, 21296, 20017, 28123, 17587, 10577, 0.62429, 9986, 675, 14108, 100, 
17, 10, 1014, 0, 78, 0.895003, 3465, 904, 0, 22229, 21050, 30025, 17093, 11191, 0.627798, 10601, 688, 14612, 175, 
18, 10, 1067, 0, 78, 0.882948, 3417, 1395, 0, 16565, 15352, 22363, 11806, 7619, 0.659729, 7204, 484, 11416, 88, 
19, 10, 1174, 0, 78, 0.880164, 3636, 1377, 0, 23107, 21743, 33844, 15982, 11384, 0.663911, 10848, 605, 15372, 121, 
20, 10, 1077, 0, 416, 0.879876, 3557, 1214, 0, 24537, 23272, 38765, 18439, 12464, 0.678746, 11843, 697, 16019, 174, 
21, 10, 917, 0, 91, 0.870377, 3191, 1772, 0, 25014, 23966, 38167, 17428, 13020, 0.659153, 12497, 549, 16156, 206, 
22, 10, 1027, 0, 0, 0.863646, 3536, 1647, 0, 23200, 21928, 33299, 16449, 11817, 0.645423, 11331, 498, 15031, 266, 
23, 10, 1094, 0, 287, 0.871044, 3417, 1339, 0, 21977, 20707, 31160, 17175, 11097, 0.644281, 10441, 697, 14415, 175, 
24, 10, 1197, 0, 98, 0.878066, 4297, 1217, 0, 22594, 21225, 33718, 16873, 11092, 0.671514, 10425, 758, 15125, 93, 
25, 10, 1390, 0, 308, 0.871733, 6865, 1123, 0, 24679, 23162, 32753, 17109, 11701, 0.643327, 11086, 722, 16844, 72, 
26, 9, 1301, 0, 105, 0.864803, 5442, 5433, 0, 25378, 23887, 29737, 15070, 12274, 0.587872, 11850, 451, 16983, 53, 
