Iteration, Updated Cameras, Added Points, Moved Points, Inserted Steiner Points, Tracing Index Cache Hit Ratio, Traced Rays, Retraced Rays, Untraced Rays, Insert In Boundary, Remove From Boundary, Single Cell Test, Is Regular Test, Enclosing Cells, Enclosing Volume Cache Hit, Shrinked Singular, Shrinked Several, Grown Singular, Grown Several
0, 10, 1394, 0, 180, 0.887539, 4489, 0, 0, 4075, 2486, 0, 2753, 0, -nan, 0, 0, 4033, 41, 
1, 10, 1294, 0, 60, 0.902793, 4032, 1864, 0, 10627, 9181, 9404, 7267, 4074, 0.56678, 3970, 105, 8129, 11, 
2, 10, 1072, 0, 30, 0.908239, 3364, 1734, 0, 15014, 13786, 15808, 9504, 7177, 0.546763, 7010, 155, 10470, 16, 
3, 10, 1274, 0, 60, 0.905279, 4186, 1646, 0, 15082, 13585, 13541, 8806, 6921, 0.490579, 6782, 112, 10741, 40, 
4, 10, 1206, 0, 110, 0.887673, 3712, 2585, 0, 17185, 15784, 15893, 10806, 8123, 0.489793, 7934, 230, 12063, 59, 
5, 10, 1241, 0, 55, 0.899925, 4163, 1400, 0, 28157, 26669, 30420, 18256, 14713, 0.516957, 14317, 420, 18838, 74, 
6, 10, 1233, 0, 110, 0.895683, 3827, 1673, 0, 22743, 21371, 26209, 15657, 11335, 0.570758, 10736, 570, 15170, 134, 
7, 10, 1181, 0, 0, 0.892855, 3634, 2137, 0, 19342, 18043, 20154, 12174, 9500, 0.5294, 9199, 273, 13153, 25, 
8, 10, 1081, 0, 110, 0.902258, 3777, 1864, 0, 21187, 19897, 23257, 13111, 10674, 0.541869, 10395, 261, 14208, 28, 
9, 10, 1357, 0, 55, 0.901931, 4374, 2429, 0, 21401, 19829, 22332, 12832, 10421, 0.533611, 10222, 213, 14577, 35, 
10, 10, 1428, 0, 55, 0.888998, 4039, 2390, 0, 21606, 19998, 21621, 14152, 10342, 0.522221, 10107, 219, 14902, 93, 
11, 10, 1312, 0, 55, 0.894755, 3949, 2055, 0, 23516, 21990, 27184, 16625, 11994, 0.5594, 11651, 302, 15779, 50, 
12, 10, 1231, 0, 0, 0.895802, 4744, 2488, 0, 25835, 24464, 30917, 17635, 13428, 0.566391, 13029, 347, 17297, 69, 
13, 10, 1517, 0, 55, 0.889379, 5440, 3717, 0, 27394, 25623, 31017, 19269, 13775, 0.556689, 13356, 421, 18490, 85, 
14, 10, 945, 0, 0, 0.882112, 3086, 3426, 0, 33607, 32510, 40674, 23986, 18576, 0.5438, 18070, 505, 21667, 96, 
15, 10, 1107, 0, 85, 0.900728, 3788, 1254, 0, 33308, 32068, 41840, 23824, 18094, 0.569416, 17436, 632, 21440, 112, 
16, 10, 1263, 0, 85, 0.885158, 3897, 2175, 0, 20916, 19538, 25119, 16043, 10603, 0.580926, 10023, 466, 13782, 71, 
17, 10, 1143, 0, 0, 0.882866, 3678, 1943, 0, 34343, 33024, 41705, 23350, 18780, 0.551918, 18055, 571, 22083, 89, 
18, 10, 1114, 0, 0, 0.888783, 3334, 1799, 0, 44233, 42941, 57067, 28991, 24779, 0.567428, 23897, 752, 28039, 86, 
19, 10, 1306, 0, 0, 0.883871, 4455, 1361, 0, 40491, 39076, 48610, 26042, 21820, 0.553564, 21014, 699, 26053, 150, 
20, 10, 1196, 0, 0, 0.884196, 3821, 2638, 0, 47356, 45957, 59856, 29717, 26157, 0.564544, 25250, 846, 29878, 186, 
21, 10, 1258, 0, 0, 0.895389, 3973, 2077, 0, 53664, 52476, 69261, 33209, 30308, 0.564534, 29137, 1094, 33557, 150, 
22, 10, 1242, 0, 0, 0.896278, 4144, 1711, 0, 61772, 60166, 78884, 40898, 34313, 0.565829, 33090, 1292, 38897, 339, 
23, 10, 1332, 0, 0, 0.90121, 4595, 2103, 0, 54469, 52949, 72180, 37584, 30253, 0.58143, 29178, 1081, 34307, 327, 
24, 10, 1241, 0, 0, 0.900775, 4067, 2773, 0, 35778, 39816, 65769, 24929, 28786, 0.562921, 27811, 1138, 16849, 107, 
25, 10, 1163, 0, 0, 0.89244, 3987, 1777, 0, 41021, 34228, 29252, 25353, 12845, 0.561799, 12367, 505, 32569, 203, 
26, 10, 1317, 0, 85, 0.876575, 4615, 2691, 0, 43811, 42261, 57395, 30890, 23364, 0.593662, 22278, 1161, 28104, 186, 
27, 10, 1062, 0, 85, 0.883599, 3687, 1594, 0, 36615, 35784, 52854, 23494, 20313, 0.617003, 19501, 794, 22877, 82, 
28, 10, 1158, 0, 85, 0.900814, 3755, 2168, 0, 40765, 39376, 61295, 27024, 21961, 0.642072, 21124, 859, 25501, 311, 
29, 10, 1422, 0, 85, 0.881504, 4320, 2030, 0, 18768, 17241, 22969, 13843, 9057, 0.60782, 8640, 346, 12772, 57, 
30, 10, 1243, 0, 0, 0.897982, 3811, 1508, 0, 66644, 65185, 100318, 44927, 37150, 0.630208, 35777, 1404, 41200, 594, 
31, 10, 1235, 0, 0, 0.910981, 3886, 1705, 0, 62625, 61134, 106311, 46180, 35250, 0.669439, 33389, 1739, 38164, 760, 
32, 10, 1359, 0, 0, 0.90597, 4035, 2130, 0, 56842, 55376, 91829, 42243, 31562, 0.657675, 29828, 1618, 35261, 471, 
33, 10, 1370, 0, 0, 0.905234, 4155, 1991, 0, 49379, 47817, 76869, 33763, 27091, 0.649271, 25714, 1127, 30879, 402, 
34, 10, 1295, 0, 0, 0.901899, 4105, 1446, 0, 49160, 47614, 76325, 33408, 27001, 0.648452, 25632, 1081, 30571, 592, 
35, 10, 1191, 0, 0, 0.904581, 3759, 1924, 0, 41122, 39751, 55802, 26372, 22440, 0.600847, 21357, 766, 25961, 218, 
36, 10, 1322, 0, 0, 0.902694, 4125, 1819, 0, 42192, 40662, 58726, 28375, 22849, 0.613672, 21684, 890, 26661, 241, 
37, 10, 1290, 0, 0, 0.8954, 3524, 1733, 0, 30044, 28628, 36602, 19331, 15795, 0.572854, 15031, 671, 19496, 63, 
38, 10, 1074, 0, 391, 0.886847, 3832, 1312, 0, 49468, 48198, 64184, 32220, 27924, 0.566498, 27121, 772, 31088, 262, 
39, 10, 1226, 0, 0, 0.875482, 4973, 3100, 0, 47675, 46290, 60158, 33765, 26243, 0.565326, 25270, 906, 30570, 331, 
40, 10, 1175, 0, 0, 0.87374, 3838, 6805, 0, 63498, 62158, 84755, 45707, 35616, 0.580396, 34401, 1182, 39894, 384, 
41, 10, 1202, 0, 0, 0.874322, 3638, 11927, 0, 97890, 96681, 140914, 72635, 55849, 0.60427, 53691, 2269, 60590, 583, 
42, 5, 623, 0, 0, 0.871025, 2006, 12671, 0, 86276, 85629, 151372, 63471, 50034, 0.669823, 48076, 2012, 52330, 671, 
