Iteration, Updated Cameras, Added Points, Moved Points, Inserted Steiner Points, Tracing Index Cache Hit Ratio, Traced Rays, Retraced Rays, Untraced Rays, Insert In Boundary, Remove From Boundary, Single Cell Test, Is Regular Test, Enclosing Cells, Enclosing Volume Cache Hit, Shrinked Singular, Shrinked Several, Grown Singular, Grown Several
0, 10, 1143, 0, 180, 0.887394, 3280, 0, 0, 3278, 1943, 0, 2641, 0, -nan, 0, 0, 3252, 25, 
1, 10, 1029, 0, 60, 0.892882, 3264, 817, 0, 8596, 7418, 7830, 7588, 3278, 0.581354, 3127, 151, 6584, 69, 
2, 10, 1187, 0, 30, 0.891529, 3559, 1288, 0, 14656, 13257, 16162, 12198, 6651, 0.588479, 6335, 319, 10427, 89, 
3, 10, 977, 0, 30, 0.89639, 2933, 1263, 0, 18403, 17278, 24392, 16062, 9543, 0.608958, 9108, 444, 12216, 136, 
4, 10, 911, 0, 85, 0.901693, 3106, 710, 0, 18544, 17451, 24200, 15692, 9605, 0.603492, 9137, 399, 12389, 135, 
5, 10, 978, 0, 35, 0.893693, 3517, 1346, 0, 19529, 18339, 25546, 14636, 9874, 0.61395, 9489, 393, 13243, 88, 
6, 10, 1059, 0, 35, 0.885863, 3354, 1354, 0, 14049, 12846, 15690, 11091, 6365, 0.594947, 6103, 312, 9787, 164, 
7, 10, 1120, 0, 70, 0.880528, 3325, 946, 0, 16990, 15650, 19873, 12307, 7988, 0.598653, 7698, 352, 11520, 198, 
8, 10, 939, 0, 35, 0.889762, 2827, 856, 0, 18273, 17176, 25333, 14374, 9418, 0.629037, 9012, 368, 11936, 205, 
9, 10, 1231, 0, 35, 0.882978, 4078, 987, 0, 18831, 17367, 22689, 15582, 9063, 0.601556, 8648, 391, 12799, 288, 
10, 10, 1144, 0, 35, 0.880877, 3498, 1807, 0, 19428, 18121, 24752, 17919, 9728, 0.607441, 9191, 544, 13076, 218, 
11, 10, 1108, 0, 35, 0.879429, 3672, 892, 0, 20476, 19227, 25461, 17782, 10286, 0.596485, 9808, 452, 13877, 169, 
12, 10, 1008, 0, 35, 0.890358, 3427, 1501, 0, 23373, 22181, 28967, 19031, 11974, 0.58689, 11382, 655, 15350, 284, 
13, 10, 1053, 0, 0, 0.872637, 4790, 2050, 0, 24751, 23683, 33049, 19208, 12232, 0.630308, 11595, 627, 16500, 241, 
14, 10, 1541, 0, 100, 0.874934, 5562, 3536, 0, 41671, 40004, 61866, 30721, 22027, 0.644163, 21081, 1035, 26592, 288, 
15, 10, 1014, 0, 0, 0.876514, 3404, 5966, 0, 53562, 52283, 79061, 38795, 29857, 0.622498, 28735, 1194, 33147, 571, 
16, 10, 807, 0, 0, 0.87407, 2463, 7670, 0, 62519, 61499, 102908, 48481, 35858, 0.651922, 34299, 1567, 37936, 808, 
17, 10, 957, 0, 0, 0.870712, 2936, 6606, 0, 51218, 50115, 83731, 44550, 29168, 0.652091, 27673, 1524, 31388, 792, 
18, 10, 1007, 0, 0, 0.87552, 2887, 6499, 0, 54394, 53238, 79353, 45364, 30813, 0.611927, 29521, 1380, 33768, 786, 
19, 10, 994, 0, 0, 0.875614, 3031, 7525, 0, 54137, 53041, 80208, 45232, 30451, 0.620742, 29062, 1469, 33515, 847, 
20, 10, 935, 0, 0, 0.876762, 2689, 7713, 0, 55917, 54870, 86448, 44473, 32023, 0.629805, 30770, 1266, 34246, 814, 
21, 10, 680, 0, 0, 0.880116, 2737, 5403, 0, 48741, 47923, 85165, 41451, 28001, 0.671462, 26727, 1238, 29641, 731, 
22, 10, 1025, 0, 0, 0.874545, 4063, 8615, 0, 49316, 48134, 78173, 42122, 26999, 0.654943, 25670, 1378, 30859, 806, 
23, 10, 1034, 0, 0, 0.872708, 3530, 9692, 0, 48099, 46973, 81283, 37699, 26364, 0.675939, 25312, 1066, 30151, 572, 
24, 10, 1043, 0, 0, 0.874534, 2883, 9361, 0, 48218, 47016, 78329, 39508, 26493, 0.661932, 25303, 1248, 29744, 689, 
25, 10, 959, 0, 40, 0.870884, 2798, 6713, 0, 45334, 44231, 78372, 36991, 24631, 0.685969, 23435, 1226, 28007, 717, 
26, 10, 898, 0, 40, 0.878848, 2681, 3482, 0, 38601, 37559, 58493, 30988, 21271, 0.636598, 20329, 959, 23657, 530, 
27, 10, 876, 0, 80, 0.897981, 2647, 818, 0, 20327, 19268, 32489, 17005, 10435, 0.679475, 9857, 546, 13043, 327, 
28, 10, 951, 0, 40, 0.897758, 2817, 803, 0, 16561, 15455, 27067, 15259, 8040, 0.70343, 7405, 697, 10968, 242, 
29, 10, 947, 0, 40, 0.890616, 2924, 785, 0, 15178, 14050, 20915, 14333, 7258, 0.653606, 6693, 645, 10306, 172, 
30, 10, 933, 0, 40, 0.891574, 2814, 983, 0, 12405, 11257, 14206, 9786, 5760, 0.595108, 5536, 224, 8660, 97, 
31, 10, 1018, 0, 40, 0.890749, 3101, 741, 0, 13972, 12763, 17651, 11573, 6441, 0.635484, 6187, 248, 9764, 160, 
32, 10, 890, 0, 80, 0.888305, 2637, 1653, 0, 15324, 14302, 23319, 14155, 7706, 0.66988, 7185, 530, 10216, 164, 
33, 10, 939, 0, 0, 0.87618, 3906, 666, 0, 16202, 15188, 20421, 13714, 7644, 0.626046, 7275, 369, 11236, 130, 
34, 10, 1609, 0, 0, 0.865456, 5281, 2326, 0, 32034, 30265, 43283, 25575, 16313, 0.623265, 15688, 633, 21032, 331, 
35, 10, 1053, 0, 0, 0.876678, 3331, 6868, 0, 41545, 40265, 62571, 36411, 23066, 0.631728, 21953, 1192, 25939, 512, 
36, 0, 0, 0, 0, -nan, 0, 0, 0, 6, 8, 0, 0, 0, -nan, 0, 0, 6, 0, 
