Iteration, Updated Cameras, Added Points, Moved Points, Inserted Steiner Points, Tracing Index Cache Hit Ratio, Traced Rays, Retraced Rays, Untraced Rays, Insert In Boundary, Remove From Boundary, Single Cell Test, Is Regular Test, Enclosing Cells, Enclosing Volume Cache Hit, Shrinked Singular, Shrinked Several, Grown Singular, Grown Several
0, 10, 878, 0, 125, 0.849189, 4647, 0, 0, 2663, 1658, 0, 1497, 0, -nan, 0, 0, 2662, 0, 
1, 10, 526, 0, 0, 0.846139, 4726, 4554, 0, 6884, 6281, 4789, 2959, 2663, 0.443934, 2659, 4, 5207, 18, 
2, 10, 401, 0, 0, 0.849974, 2804, 8115, 0, 10175, 9737, 11577, 5483, 5185, 0.552129, 5072, 154, 6549, 8, 
3, 10, 356, 0, 0, 0.864784, 2049, 4729, 0, 12404, 12006, 13898, 6085, 6534, 0.52986, 6449, 109, 7822, 72, 
4, 10, 603, 0, 0, 0.853596, 3714, 11482, 0, 15700, 15072, 17731, 8888, 7829, 0.558457, 7560, 335, 10200, 52, 
5, 10, 534, 0, 0, 0.854488, 3718, 5488, 0, 19498, 18926, 23334, 9245, 10216, 0.562184, 10004, 249, 12267, 52, 
6, 10, 242, 0, 0, 0.847586, 3076, 18799, 0, 22501, 22317, 27212, 9446, 12283, 0.548618, 12074, 246, 13793, 32, 
7, 10, 534, 0, 0, 0.853005, 3822, 24734, 0, 26217, 25742, 33495, 11712, 13792, 0.588237, 13538, 288, 16174, 47, 
8, 10, 407, 0, 0, 0.848913, 3027, 27949, 0, 30251, 29927, 39398, 13260, 16132, 0.590538, 15721, 501, 18248, 90, 
9, 10, 564, 0, 0, 0.849299, 3963, 8191, 0, 34325, 33832, 56604, 17474, 18062, 0.680906, 17272, 1067, 20551, 76, 
10, 2, 85, 0, 0, 0.851544, 961, 8177, 0, 36506, 36414, 61779, 17874, 20313, 0.671199, 19490, 1138, 20928, 93, 
