Iteration, Updated Cameras, Added Points, Moved Points, Inserted Steiner Points, Tracing Index Cache Hit Ratio, Traced Rays, Retraced Rays, Untraced Rays, Insert In Boundary, Remove From Boundary, Single Cell Test, Is Regular Test, Enclosing Cells, Enclosing Volume Cache Hit, Shrinked Singular, Shrinked Several, Grown Singular, Grown Several
0, 10, 1272, 0, 125, 0.887816, 5827, 0, 0, 1330, 635, 0, 898, 0, -nan, 0, 0, 1329, 0, 
1, 10, 854, 0, 0, 0.874426, 5099, 5725, 0, 3626, 2846, 2306, 2549, 1330, 0.423244, 1315, 15, 2985, 5, 
2, 10, 849, 0, 0, 0.860906, 4894, 10150, 0, 5714, 5120, 5414, 3917, 2990, 0.447728, 2940, 51, 4192, 5, 
3, 10, 839, 0, 0, 0.857924, 4445, 15496, 0, 7634, 7038, 8290, 5092, 4198, 0.493607, 4155, 43, 5494, 10, 
4, 10, 890, 0, 0, 0.851308, 4335, 20265, 0, 9701, 9099, 10869, 5893, 5504, 0.493606, 5448, 57, 6835, 25, 
5, 10, 985, 0, 0, 0.851584, 4606, 24054, 0, 11767, 11131, 13678, 7502, 6860, 0.498465, 6777, 84, 8130, 42, 
6, 10, 1080, 0, 0, 0.856922, 4945, 28150, 0, 13747, 13092, 16655, 9779, 8173, 0.509276, 8040, 133, 9425, 51, 
7, 10, 1074, 0, 0, 0.857656, 4520, 7415, 0, 15525, 14929, 19474, 11265, 9477, 0.513351, 9285, 192, 10542, 63, 
8, 10, 988, 0, 0, 0.867736, 5255, 4347, 0, 17245, 16636, 22114, 11868, 10606, 0.520394, 10391, 215, 11698, 95, 
9, 10, 824, 0, 0, 0.866941, 5167, 7162, 0, 18802, 18334, 25046, 14858, 11794, 0.529106, 11490, 304, 12690, 81, 
10, 10, 1039, 0, 0, 0.869131, 4183, 13702, 0, 20325, 19800, 26342, 13908, 12772, 0.515147, 12519, 253, 13743, 40, 
11, 10, 893, 0, 0, 0.870435, 4557, 4524, 0, 21840, 21283, 28129, 14890, 13784, 0.509972, 13549, 235, 14756, 56, 
12, 10, 805, 0, 0, 0.861168, 4859, 11468, 0, 23683, 23038, 30315, 16127, 14813, 0.511364, 14564, 249, 16078, 105, 
13, 10, 810, 0, 0, 0.859085, 3727, 29027, 0, 25551, 25050, 33661, 16436, 16184, 0.519206, 15916, 268, 17268, 56, 
14, 10, 1006, 0, 0, 0.854572, 4414, 40053, 0, 27765, 27007, 35663, 18990, 17325, 0.514202, 17021, 304, 18803, 96, 
15, 10, 1028, 0, 0, 0.85028, 4922, 51572, 0, 30253, 29495, 40276, 22680, 18900, 0.530738, 18468, 432, 20455, 115, 
16, 10, 929, 0, 0, 0.848035, 4550, 50836, 0, 33015, 32201, 44735, 24615, 20571, 0.540159, 20169, 402, 22246, 173, 
17, 10, 960, 0, 0, 0.846356, 4686, 73436, 0, 35842, 35018, 49714, 28487, 22417, 0.549081, 21845, 575, 24016, 198, 
18, 10, 906, 0, 0, 0.843698, 4861, 82899, 0, 39061, 38181, 53348, 27892, 24215, 0.546094, 23787, 428, 26113, 356, 
19, 10, 804, 0, 0, 0.837343, 5028, 31456, 0, 41990, 41407, 57378, 31229, 26469, 0.538691, 25898, 572, 27788, 236, 
20, 10, 814, 0, 0, 0.839122, 5295, 18432, 0, 44457, 43831, 60798, 32202, 28023, 0.53908, 27447, 578, 29293, 224, 
21, 10, 906, 0, 0, 0.837129, 4995, 18987, 0, 46772, 46111, 64062, 32631, 29514, 0.53929, 28962, 556, 30751, 214, 
22, 10, 1170, 0, 0, 0.838183, 4860, 24654, 0, 49163, 48457, 67013, 33100, 30963, 0.537955, 30475, 491, 32345, 223, 
23, 10, 847, 0, 0, 0.837902, 4609, 38469, 0, 51823, 51062, 71164, 34256, 32566, 0.542381, 32075, 494, 34071, 256, 
24, 10, 339, 0, 0, 0.838709, 4272, 93325, 0, 54321, 53809, 78929, 37448, 34327, 0.56509, 33767, 561, 35616, 211, 
25, 7, 197, 0, 0, 0.836856, 3025, 74196, 0, 56239, 55944, 77642, 38250, 35828, 0.538549, 35254, 574, 36532, 225, 
