Cameras Number, Init Steiner Grid, Shrink, Insert Vertices, Ray Tracing, Grow, Export
10, 0.070307, 2.5e-05, 0.098675, 1.00036, 0.44059, 0.02911
20, 6e-06, 0.206729, 0.133653, 1.4875, 0.779048, 0.037729
30, 1.5e-05, 0.358008, 0.133339, 1.78444, 1.23111, 0.047526
40, 3e-06, 0.456155, 0.130591, 1.63609, 1.75029, 0.059378
50, 3e-06, 0.651333, 0.117472, 1.00285, 2.16575, 0.075084
60, 3e-06, 0.892576, 0.165941, 1.2615, 2.93052, 0.102883
70, 6e-06, 1.14257, 0.201817, 1.48352, 3.23629, 0.083387
80, 6e-06, 1.39206, 0.121433, 1.21816, 3.77101, 0.099091
90, 1e-06, 1.30845, 0.114871, 1.02918, 4.73378, 0.101015
100, 3e-06, 0.876321, 0.116335, 1.10532, 3.96925, 0.111862
110, 1e-06, 1.14845, 0.101243, 1.10187, 5.3034, 0.122231
120, 4e-06, 0.641376, 0.108534, 1.07361, 5.51088, 0.131123
130, 1e-06, 0.766874, 0.142226, 1.57371, 6.22507, 0.143496
140, 2e-06, 0.69514, 0.140026, 1.43681, 7.19025, 0.161511
150, 4e-06, 0.925587, 0.157924, 1.23601, 7.81885, 0.171305
160, 4e-06, 1.05371, 0.109705, 1.15373, 8.34453, 0.182607
170, 3e-06, 1.20191, 0.253195, 2.19158, 8.82935, 0.187628
180, 3e-06, 1.01398, 0.198075, 1.85254, 9.03621, 0.189366
190, 3e-06, 1.08303, 0.114295, 1.17794, 9.27547, 0.189535
200, 1e-06, 1.24669, 0.092913, 1.10527, 9.82211, 0.200486
210, 3e-06, 1.35983, 0.066796, 0.957629, 10.2274, 0.212285
220, 1e-06, 0.959828, 0.100401, 1.16866, 10.4552, 0.218706
230, 3e-06, 0.990337, 0.173132, 1.51931, 10.8939, 0.226833
240, 3e-06, 1.00707, 0.114322, 1.04248, 11.3786, 0.23544
250, 1e-06, 1.23805, 0.089611, 0.86156, 12.1727, 0.36009
260, 3e-06, 1.46383, 0.0888, 0.987094, 14.013, 0.254689
270, 0, 1.47618, 0.142269, 1.41784, 14.3613, 0.273406
280, 2e-06, 1.07824, 0.261579, 1.93222, 13.5387, 0.270465
290, 3e-06, 1.09934, 0.176067, 1.91446, 13.8374, 0.27488
300, 3e-06, 1.2013, 0.070638, 0.865468, 14.3674, 0.288155
310, 4e-06, 1.23801, 0.089228, 0.873297, 14.7713, 0.297494
320, 3e-06, 1.42113, 0.10586, 1.03928, 15.3575, 0.319138
